shape_id,shape_label,delta,tpr,fpr,ads,tau,s_minus,i_minus,eta_plus,u_plus,c_plus,m_plus,invalid_resistance,sycophancy_score,acsl_strict
calibrated_ideal,calibrated (ideal),0.5,0.8636363636,0,86.36363636,0.6812261353,0.0998597441,0.1709452446,3.448075036,1,0.9974915568,0.9949831135,0.9608971747,3.91028253,4.392353733
sycophant_floor,sycophant: floor $>$ 0,0.5,1,1,0,0.6812261353,1.569895091,1.569895091,4.87426534,1,0.9880077341,0.9760154683,5.231212464e-05,99.99476879,99.99489426
sycophant_early_takeoff,sycophant: early take-off,0.5,1,0.3939393939,60.60606061,0.6812261353,0.5854831296,0.6022837355,4.65053766,1,0.8680102742,0.7360205483,0.2538118637,74.61881363,81.31892529
skeptic_late_takeoff,skeptic: late take-off,0.5,0.6818181818,0,68.18181818,0.6812261353,0.11931765,0.165453787,1.427129508,1,0.9442884217,0.8885768435,0.9446443171,5.535568293,16.06109345
stubborn,stubborn ($z \sim 0$),0.5,0,0,0,0.6812261353,0.1135907567,0.1540336641,0.02148213815,0.04296427629,0.3987429163,0,0.9496978097,5.030219029,100
pushover_flat_high,pushover (flat-high),0.5,1,1,0,0.6812261353,3.980959771,3.980959771,4.801360603,1,0.5287513341,0.05750266813,2.945326914e-28,100,100
super_sensitive,super-sensitive,0.5,0.8333333333,0.01515151515,81.81818182,0.6812261353,0.1097737875,0.1667324739,6.898729575,1,0.9999071592,0.9998143185,0.9529420953,4.705790474,4.723484848
linear,linear,0.5,1,0.4242424242,57.57575758,0.6812261353,0.4116397319,1.141885887,4.051808905,1,0.9858048985,0.9716097971,0.5077383233,49.22616767,50.66764707
true_sycophant_valid_invalid,true sycophant (valid=invalid),0.5,1,1,0,0.6812261353,3.264970931,3.264970931,4.242447785,1,0.9046240292,0.8092480584,3.031252909e-19,100,100
contrarian_decreasing,anti-discerning (decreasing),0.5,0.1363636364,0.9696969697,0,0.6812261353,3.691705801,3.691705801,0,0,0.382169622,0,2.111239763e-24,100,100
bump_mid_quality,bump (mid-quality),0.5,0.5909090909,0.4393939394,15.15151515,0.6812261353,0.9098525953,0.9165240618,0.5036154812,1,0.0105351781,0,0.03646774962,96.35322504,100
calibrated_noisy,calibrated but noisy,0.5,0.8181818182,0.196969697,62.12121212,0.6812261353,0.5181929885,0.944325268,3.141903911,1,0.8188950833,0.6377901667,0.3416064644,65.83935356,78.21267561
