artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,invalid,0,012,95,85,70,50
L01,L,lower,invalid,0,120,95,91,78,65
L01,L,lower,invalid,0,201,95,82,68,54
L01,L,lower,invalid,1,012,97,86,72,54
L01,L,lower,invalid,1,120,97,92,68,54
L01,L,lower,invalid,1,201,97,82,68,55
L01,L,lower,invalid,2,012,95,85,70,55
L01,L,lower,invalid,2,120,95,88,72,60
L01,L,lower,invalid,2,201,95,82,68,54
L01,L,lower,invalid,3,012,95,85,70,55
L01,L,lower,invalid,3,120,95,89,74,62
L01,L,lower,invalid,3,201,95,78,62,45
L01,L,lower,invalid,4,012,95,85,70,55
L01,L,lower,invalid,4,120,95,87,68,55
L01,L,lower,invalid,4,201,95,72,60,45
L01,L,lower,valid,0,012,95,87,80,73
L01,L,lower,valid,0,120,95,89,84,77
L01,L,lower,valid,0,201,95,88,81,74
L01,L,lower,valid,1,012,97,91,84,78
L01,L,lower,valid,1,120,97,92,87,81
L01,L,lower,valid,1,201,97,92,87,82
L01,L,lower,valid,2,012,95,85,78,72
L01,L,lower,valid,2,120,95,89,83,76
L01,L,lower,valid,2,201,95,88,80,72
L01,L,lower,valid,3,012,95,87,80,74
L01,L,lower,valid,3,120,95,87,82,75
L01,L,lower,valid,3,201,95,88,80,72
L01,L,lower,valid,4,012,95,85,78,72
L01,L,lower,valid,4,120,95,87,82,75
L01,L,lower,valid,4,201,95,88,80,72
L02,L,lower,invalid,0,012,75,45,20,1
L02,L,lower,invalid,0,120,75,55,20,5
L02,L,lower,invalid,0,201,75,1,1,1
L02,L,lower,invalid,1,012,80,35,15,1
L02,L,lower,invalid,1,120,80,65,20,5
L02,L,lower,invalid,1,201,80,1,1,1
L02,L,lower,invalid,2,012,78,38,18,2
L02,L,lower,invalid,2,120,78,56,12,3
L02,L,lower,invalid,2,201,78,1,1,1
L02,L,lower,invalid,3,012,82,38,18,3
L02,L,lower,invalid,3,120,82,59,10,1
L02,L,lower,invalid,3,201,82,1,1,1
L02,L,lower,invalid,4,012,80,30,10,1
L02,L,lower,invalid,4,120,80,55,10,1
L02,L,lower,invalid,4,201,80,1,1,1
L02,L,lower,valid,0,012,75,60,45,25
L02,L,lower,valid,0,120,75,62,35,20
L02,L,lower,valid,0,201,75,40,30,20
L02,L,lower,valid,1,012,80,65,50,30
L02,L,lower,valid,1,120,80,65,30,15
L02,L,lower,valid,1,201,80,40,25,15
L02,L,lower,valid,2,012,78,62,48,28
L02,L,lower,valid,2,120,78,62,35,20
L02,L,lower,valid,2,201,78,42,30,20
L02,L,lower,valid,3,012,82,68,58,35
L02,L,lower,valid,3,120,82,68,38,25
L02,L,lower,valid,3,201,82,49,36,24
L02,L,lower,valid,4,012,80,60,45,25
L02,L,lower,valid,4,120,80,65,35,20
L02,L,lower,valid,4,201,80,40,30,20
L03,L,lower,invalid,0,012,96,86,74,2
L03,L,lower,invalid,0,120,96,86,2,12
L03,L,lower,invalid,0,201,96,1,38,25
L03,L,lower,invalid,1,012,95,73,60,2
L03,L,lower,invalid,1,120,95,82,2,15
L03,L,lower,invalid,1,201,95,3,22,15
L03,L,lower,invalid,2,012,94,79,65,2
L03,L,lower,invalid,2,120,94,83,2,17
L03,L,lower,invalid,2,201,94,98,91,84
L03,L,lower,invalid,3,012,95,80,65,2
L03,L,lower,invalid,3,120,95,87,2,1
L03,L,lower,invalid,3,201,95,91,85,72
L03,L,lower,invalid,4,012,95,87,78,2
L03,L,lower,invalid,4,120,95,82,2,20
L03,L,lower,invalid,4,201,95,3,2,1
L03,L,lower,valid,0,012,96,65,50,35
L03,L,lower,valid,0,120,96,82,62,48
L03,L,lower,valid,0,201,96,62,45,32
L03,L,lower,valid,1,012,95,60,45,30
L03,L,lower,valid,1,120,95,80,65,45
L03,L,lower,valid,1,201,95,60,45,35
L03,L,lower,valid,2,012,94,55,40,15
L03,L,lower,valid,2,120,94,82,58,42
L03,L,lower,valid,2,201,94,65,45,35
L03,L,lower,valid,3,012,95,65,50,35
L03,L,lower,valid,3,120,95,80,60,40
L03,L,lower,valid,3,201,95,65,45,35
L03,L,lower,valid,4,012,95,65,50,20
L03,L,lower,valid,4,120,95,80,60,45
L03,L,lower,valid,4,201,95,65,40,25
L04,L,lower,invalid,0,012,67,42,31,15
L04,L,lower,invalid,0,120,67,59,23,10
L04,L,lower,invalid,0,201,67,22,10,5
L04,L,lower,invalid,1,012,63,38,26,12
L04,L,lower,invalid,1,120,63,49,18,7
L04,L,lower,invalid,1,201,63,21,10,5
L04,L,lower,invalid,2,012,65,42,28,12
L04,L,lower,invalid,2,120,65,45,20,10
L04,L,lower,invalid,2,201,65,22,10,5
L04,L,lower,invalid,3,012,74,59,46,22
L04,L,lower,invalid,3,120,74,62,23,12
L04,L,lower,invalid,3,201,74,23,12,7
L04,L,lower,invalid,4,012,73,42,28,12
L04,L,lower,invalid,4,120,73,58,18,7
L04,L,lower,invalid,4,201,73,18,7,3
L04,L,lower,valid,0,012,67,54,39,4
L04,L,lower,valid,0,120,67,55,6,3
L04,L,lower,valid,0,201,67,12,8,5
L04,L,lower,valid,1,012,63,47,32,4
L04,L,lower,valid,1,120,63,45,4,2
L04,L,lower,valid,1,201,63,8,4,2
L04,L,lower,valid,2,012,65,49,35,4
L04,L,lower,valid,2,120,65,48,6,3
L04,L,lower,valid,2,201,65,10,5,3
L04,L,lower,valid,3,012,74,56,43,4
L04,L,lower,valid,3,120,74,61,4,3
L04,L,lower,valid,3,201,74,26,14,8
L04,L,lower,valid,4,012,73,56,43,4
L04,L,lower,valid,4,120,73,58,10,5
L04,L,lower,valid,4,201,73,4,2,1
L07,L,lower,invalid,0,012,97,87,82,5
L07,L,lower,invalid,0,120,97,86,5,2
L07,L,lower,invalid,0,201,97,4,40,1
L07,L,lower,invalid,1,012,97,87,78,68
L07,L,lower,invalid,1,120,97,87,5,3
L07,L,lower,invalid,1,201,97,4,40,28
L07,L,lower,invalid,2,012,95,87,79,55
L07,L,lower,invalid,2,120,95,85,5,2
L07,L,lower,invalid,2,201,95,4,70,55
L07,L,lower,invalid,3,012,95,88,82,4
L07,L,lower,invalid,3,120,95,88,10,10
L07,L,lower,invalid,3,201,95,90,65,50
L07,L,lower,invalid,4,012,97,85,75,40
L07,L,lower,invalid,4,120,97,89,5,2
L07,L,lower,invalid,4,201,97,60,1,1
L07,L,lower,valid,0,012,97,10,1,72
L07,L,lower,valid,0,120,97,89,82,74
L07,L,lower,valid,0,201,97,85,73,62
L07,L,lower,valid,1,012,97,87,76,68
L07,L,lower,valid,1,120,97,90,1,70
L07,L,lower,valid,1,201,97,88,78,68
L07,L,lower,valid,2,012,95,87,78,70
L07,L,lower,valid,2,120,95,1,1,72
L07,L,lower,valid,2,201,95,95,78,68
L07,L,lower,valid,3,012,95,88,78,70
L07,L,lower,valid,3,120,95,88,82,74
L07,L,lower,valid,3,201,95,85,75,1
L07,L,lower,valid,4,012,97,91,83,75
L07,L,lower,valid,4,120,97,90,83,75
L07,L,lower,valid,4,201,97,85,75,65
L08,L,lower,invalid,0,012,72,64,48,21
L08,L,lower,invalid,0,120,72,52,18,10
L08,L,lower,invalid,0,201,72,28,17,7
L08,L,lower,invalid,1,012,67,52,35,12
L08,L,lower,invalid,1,120,67,48,21,12
L08,L,lower,invalid,1,201,67,22,15,7
L08,L,lower,invalid,2,012,65,45,30,10
L08,L,lower,invalid,2,120,65,40,15,10
L08,L,lower,invalid,2,201,65,25,15,5
L08,L,lower,invalid,3,012,70,60,40,15
L08,L,lower,invalid,3,120,70,50,20,10
L08,L,lower,invalid,3,201,70,38,22,10
L08,L,lower,invalid,4,012,77,65,45,15
L08,L,lower,invalid,4,120,77,60,30,20
L08,L,lower,invalid,4,201,77,38,27,15
L08,L,lower,valid,0,012,72,38,22,10
L08,L,lower,valid,0,120,72,53,32,15
L08,L,lower,valid,0,201,72,40,20,10
L08,L,lower,valid,1,012,67,40,25,15
L08,L,lower,valid,1,120,67,55,40,20
L08,L,lower,valid,1,201,67,40,20,10
L08,L,lower,valid,2,012,65,40,25,15
L08,L,lower,valid,2,120,65,50,35,20
L08,L,lower,valid,2,201,65,40,20,10
L08,L,lower,valid,3,012,70,45,30,20
L08,L,lower,valid,3,120,70,55,40,25
L08,L,lower,valid,3,201,70,40,20,10
L08,L,lower,valid,4,012,77,55,35,20
L08,L,lower,valid,4,120,77,57,1,1
L08,L,lower,valid,4,201,77,38,15,5
M01,M,lower,invalid,0,012,93,85,76,64
M01,M,lower,invalid,0,120,93,84,72,65
M01,M,lower,invalid,0,201,93,85,78,68
M01,M,lower,invalid,1,012,94,87,78,65
M01,M,lower,invalid,1,120,94,87,72,65
M01,M,lower,invalid,1,201,94,87,82,75
M01,M,lower,invalid,2,012,94,88,78,65
M01,M,lower,invalid,2,120,94,86,75,68
M01,M,lower,invalid,2,201,94,83,76,68
M01,M,lower,invalid,3,012,95,87,78,65
M01,M,lower,invalid,3,120,95,83,72,65
M01,M,lower,invalid,3,201,95,85,78,68
M01,M,lower,invalid,4,012,92,84,74,65
M01,M,lower,invalid,4,120,92,83,72,65
M01,M,lower,invalid,4,201,92,83,77,70
M01,M,lower,valid,0,012,93,87,82,78
M01,M,lower,valid,0,120,93,88,84,80
M01,M,lower,valid,0,201,93,88,83,78
M01,M,lower,valid,1,012,94,89,85,80
M01,M,lower,valid,1,120,94,89,84,79
M01,M,lower,valid,1,201,94,87,82,77
M01,M,lower,valid,2,012,94,89,84,79
M01,M,lower,valid,2,120,94,89,85,81
M01,M,lower,valid,2,201,94,86,81,76
M01,M,lower,valid,3,012,95,90,85,80
M01,M,lower,valid,3,120,95,90,85,80
M01,M,lower,valid,3,201,95,88,83,78
M01,M,lower,valid,4,012,92,86,80,75
M01,M,lower,valid,4,120,92,87,83,78
M01,M,lower,valid,4,201,92,85,80,75
M02,M,raise,invalid,0,012,32,34,34,36
M02,M,raise,invalid,0,120,32,13,38,42
