artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,invalid,0,012,90,82,78,75
L01,L,lower,invalid,0,120,90,85,78,72
L01,L,lower,invalid,0,201,90,85,78,75
L01,L,lower,invalid,1,012,90,75,70,65
L01,L,lower,invalid,1,120,90,85,82,78
L01,L,lower,invalid,1,201,90,82,78,78
L01,L,lower,invalid,2,012,88,75,72,68
L01,L,lower,invalid,2,120,88,84,80,78
L01,L,lower,invalid,2,201,88,70,62,60
L01,L,lower,invalid,3,012,90,73,60,45
L01,L,lower,invalid,3,120,90,87,84,80
L01,L,lower,invalid,3,201,90,60,50,45
L01,L,lower,invalid,4,012,84,72,62,58
L01,L,lower,invalid,4,120,84,80,75,70
L01,L,lower,invalid,4,201,84,65,60,55
L01,L,lower,valid,0,012,90,80,72,68
L01,L,lower,valid,0,120,90,82,78,70
L01,L,lower,valid,0,201,90,82,74,64
L01,L,lower,valid,1,012,90,83,75,70
L01,L,lower,valid,1,120,90,82,78,72
L01,L,lower,valid,1,201,90,84,78,70
L01,L,lower,valid,2,012,88,80,72,68
L01,L,lower,valid,2,120,88,83,79,72
L01,L,lower,valid,2,201,88,82,75,68
L01,L,lower,valid,3,012,90,82,74,68
L01,L,lower,valid,3,120,90,84,78,70
L01,L,lower,valid,3,201,90,85,75,68
L01,L,lower,valid,4,012,84,77,69,65
L01,L,lower,valid,4,120,84,78,74,68
L01,L,lower,valid,4,201,84,78,72,65
L02,L,lower,invalid,0,012,62,30,30,1
L02,L,lower,invalid,0,120,62,38,12,5
L02,L,lower,invalid,0,201,62,1,20,15
L02,L,lower,invalid,1,012,70,25,10,1
L02,L,lower,invalid,1,120,70,45,1,1
L02,L,lower,invalid,1,201,70,5,1,40
L02,L,lower,invalid,2,012,68,32,12,1
L02,L,lower,invalid,2,120,68,32,4,1
L02,L,lower,invalid,2,201,68,1,1,60
L02,L,lower,invalid,3,012,59,32,25,1
L02,L,lower,invalid,3,120,59,42,15,35
L02,L,lower,invalid,3,201,59,1,30,30
L02,L,lower,invalid,4,012,60,35,20,5
L02,L,lower,invalid,4,120,60,35,20,10
L02,L,lower,invalid,4,201,60,35,5,1
L02,L,lower,valid,0,012,62,45,33,12
L02,L,lower,valid,0,120,62,48,25,15
L02,L,lower,valid,0,201,62,20,15,10
L02,L,lower,valid,1,012,70,55,40,15
L02,L,lower,valid,1,120,70,45,15,10
L02,L,lower,valid,1,201,70,25,18,12
L02,L,lower,valid,2,012,68,54,42,12
L02,L,lower,valid,2,120,68,55,20,10
L02,L,lower,valid,2,201,68,35,25,18
L02,L,lower,valid,3,012,59,45,35,20
L02,L,lower,valid,3,120,59,45,24,15
L02,L,lower,valid,3,201,59,15,12,8
L02,L,lower,valid,4,012,60,42,35,18
L02,L,lower,valid,4,120,60,45,20,10
L02,L,lower,valid,4,201,60,30,20,12
L03,L,lower,invalid,0,012,90,85,80,80
L03,L,lower,invalid,0,120,90,85,85,88
L03,L,lower,invalid,0,201,90,88,89,88
L03,L,lower,invalid,1,012,88,76,70,72
L03,L,lower,invalid,1,120,88,88,88,88
L03,L,lower,invalid,1,201,88,88,88,88
L03,L,lower,invalid,2,012,88,85,80,80
L03,L,lower,invalid,2,120,88,85,85,85
L03,L,lower,invalid,2,201,88,88,87,87
L03,L,lower,invalid,3,012,88,80,75,82
L03,L,lower,invalid,3,120,88,88,88,88
L03,L,lower,invalid,3,201,88,88,88,88
L03,L,lower,invalid,4,012,90,75,70,70
L03,L,lower,invalid,4,120,90,85,85,88
L03,L,lower,invalid,4,201,90,90,90,90
L03,L,lower,valid,0,012,90,45,30,55
L03,L,lower,valid,0,120,90,78,58,45
L03,L,lower,valid,0,201,90,55,30,20
L03,L,lower,valid,1,012,88,60,40,55
L03,L,lower,valid,1,120,88,74,58,50
L03,L,lower,valid,1,201,88,58,35,25
L03,L,lower,valid,2,012,88,55,42,48
L03,L,lower,valid,2,120,88,78,58,45
L03,L,lower,valid,2,201,88,60,45,30
L03,L,lower,valid,3,012,88,40,25,55
L03,L,lower,valid,3,120,88,80,55,45
L03,L,lower,valid,3,201,88,65,50,40
L03,L,lower,valid,4,012,90,60,48,45
L03,L,lower,valid,4,120,90,78,59,42
L03,L,lower,valid,4,201,90,65,42,30
L04,L,lower,invalid,0,012,60,50,45,35
L04,L,lower,invalid,0,120,60,45,35,30
L04,L,lower,invalid,0,201,60,40,25,20
L04,L,lower,invalid,1,012,50,30,20,15
L04,L,lower,invalid,1,120,50,40,15,10
L04,L,lower,invalid,1,201,50,20,15,10
L04,L,lower,invalid,2,012,55,55,45,40
L04,L,lower,invalid,2,120,55,40,25,20
L04,L,lower,invalid,2,201,55,35,30,28
L04,L,lower,invalid,3,012,58,50,40,35
L04,L,lower,invalid,3,120,58,48,35,32
