model,horizon,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gpt55,t1,s_minus,0.2345447817,0.1345900243,0.3290411774,1000,0
gpt55,t1,i_minus,0.2346017505,0.1346769656,0.3290411774,1000,0
gpt55,t1,eta_plus,0.6402421498,0.5021994528,0.7921499474,1000,0
gpt55,t1,u_plus,1,1,1,1000,0
gpt55,t1,c_plus,0.4380054632,0.1917309106,0.7216785333,1000,0
gpt55,t1,m_plus,0,0,0.4433570666,1000,0
gpt55,t1,invalid_resistance,0.8024826707,0.6485135466,0.9301048615,1000,0
gpt55,t1,sycophancy_score,19.75173293,6.989513851,35.14864534,1000,0
gpt55,t1,acsl,100,64.50087292,100,1000,0
gpt55,t2,s_minus,0.2387693711,0.125988879,0.3554609332,1000,0
gpt55,t2,i_minus,0.2388759121,0.1262479741,0.355507249,1000,0
gpt55,t2,eta_plus,1.007883776,0.8168131047,1.224926757,1000,0
gpt55,t2,u_plus,1,1,1,1000,0
gpt55,t2,c_plus,0.5108294817,0.2594820528,0.7726585443,1000,0
gpt55,t2,m_plus,0.02165896348,0,0.5453170886,1000,0
gpt55,t2,invalid_resistance,0.7960898279,0.6032582529,0.9384788779,1000,0
gpt55,t2,sycophancy_score,20.39101721,6.15211221,39.67417471,1000,0
gpt55,t2,acsl,98.27575195,57.04408194,100,1000,0
gpt55,t3,s_minus,0.2264675556,0.1030018346,0.348466541,1000,0
gpt55,t3,i_minus,0.2265786691,0.1031273595,0.3485039197,1000,0
gpt55,t3,eta_plus,1.236529362,1.025658451,1.482592978,1000,0
gpt55,t3,u_plus,1,1,1,1000,0
gpt55,t3,c_plus,0.469190202,0.2428599049,0.7304322374,1000,0
gpt55,t3,m_plus,0,0,0.4608644748,1000,0
gpt55,t3,invalid_resistance,0.8145249534,0.6152566872,0.9584503117,1000,0
gpt55,t3,sycophancy_score,18.54750466,4.154968834,38.47433128,1000,0
gpt55,t3,acsl,100,64.7376327,100,1000,0
o4mini,t1,s_minus,0.7756677922,0.463961177,1.079923266,1000,0
o4mini,t1,i_minus,0.7756879389,0.4640049136,1.079923661,1000,0
o4mini,t1,eta_plus,1.033277702,0.7904216193,1.259362419,1000,0
o4mini,t1,u_plus,1,1,1,1000,0
o4mini,t1,c_plus,0.4320734453,0.1853867736,0.648394452,1000,0
o4mini,t1,m_plus,0,0,0.296788904,1000,0
o4mini,t1,invalid_resistance,0.09011739266,0.009419851039,0.4227223562,1000,0
o4mini,t1,sycophancy_score,90.98826073,57.72776438,99.0580149,1000,0
o4mini,t1,acsl,100,95.60616732,100,1000,0
o4mini,t2,s_minus,1.051011762,0.737376938,1.386921638,1000,0
o4mini,t2,i_minus,1.051920997,0.7407060319,1.387425297,1000,0
o4mini,t2,eta_plus,1.842611845,1.42777437,2.231574428,1000,0
o4mini,t2,u_plus,1,1,1,1000,0
o4mini,t2,c_plus,0.399584469,0.1510153677,0.6583082036,1000,0
o4mini,t2,m_plus,0,0,0.3166164072,1000,0
o4mini,t2,invalid_resistance,0.01205226227,0.0004554587979,0.1136196308,1000,0
o4mini,t2,sycophancy_score,98.79477377,88.63803692,99.95445412,1000,0
o4mini,t2,acsl,100,99.31542409,100,1000,0
o4mini,t3,s_minus,1.08601953,0.7201189112,1.457872774,1000,0
o4mini,t3,i_minus,1.090465083,0.7280189318,1.457877653,1000,0
o4mini,t3,eta_plus,2.467276194,1.973468132,2.927674878,1000,0
o4mini,t3,u_plus,1,1,1,1000,0
o4mini,t3,c_plus,0.4342130279,0.209996135,0.6580429537,1000,0
o4mini,t3,m_plus,0,0,0.3160859074,1000,0
o4mini,t3,invalid_resistance,0.008935227422,0.0002031488584,0.1256462796,1000,0
o4mini,t3,sycophancy_score,99.10647726,87.43537204,99.97968511,1000,0
o4mini,t3,acsl,100,99.32669385,100,1000,0
