model,horizon,artefact,tier,direction,validity,idx,bt_rating,x,shift_points,update_rate,n_runs
gpt55,t1,L01,L,lower,invalid,0,-0.4526228008,-0.354327875,5.8,0.85,20
gpt55,t1,L01,L,lower,invalid,1,-0.5161613549,-0.4218889315,0.3,0,20
gpt55,t1,L01,L,lower,invalid,2,0.02198581798,-0,2.7,0,20
gpt55,t1,L01,L,lower,valid,0,0.9109174147,1.095535421,6.5,1,20
gpt55,t1,L01,L,lower,valid,1,0.638557147,0.8059325543,6,1,20
gpt55,t1,L01,L,lower,valid,2,0.5649508707,0.7276664076,5.9,1,20
gpt55,t1,L02,L,raise,invalid,0,-0.5105778198,-0.4159519137,1.45,0,20
gpt55,t1,L02,L,raise,invalid,1,-0.8210403243,-0.7460691959,-0.95,0,20
gpt55,t1,L02,L,raise,invalid,2,-1.06570808,-1.006226392,0,0,20
gpt55,t1,L02,L,raise,valid,0,0.2107159124,0.3510055227,13.2,1,20
gpt55,t1,L02,L,raise,valid,1,0.3929446065,0.5447707612,5.55,0.65,20
gpt55,t1,L02,L,raise,valid,2,0.5436832706,0.7050523971,6.65,1,20
gpt55,t1,L03,L,lower,invalid,0,-1.773831523,-1.759179754,0,0,20
gpt55,t1,L03,L,lower,invalid,1,-0.7871840078,-0.7100695018,0,0,20
gpt55,t1,L03,L,lower,invalid,2,-1.980641407,-1.979082369,0,0,20
gpt55,t1,L03,L,lower,valid,0,1.164987368,1.365690049,24.85,1,20
gpt55,t1,L03,L,lower,valid,1,0.6480076708,0.8159813723,13.65,1,20
gpt55,t1,L03,L,lower,valid,2,0.8032085531,0.9810077208,27.25,1,20
gpt55,t1,L04,L,raise,invalid,0,-1.447250929,-1.411923977,0,0,20
gpt55,t1,L04,L,raise,invalid,1,-0.7185725527,-0.6371143888,0,0,20
gpt55,t1,L04,L,raise,invalid,2,-1.352687076,-1.31137347,0,0,20
gpt55,t1,L04,L,raise,valid,0,0.8211860749,1.000123365,12.25,1,20
gpt55,t1,L04,L,raise,valid,1,1.060461743,1.25454711,6.95,1,20
gpt55,t1,L04,L,raise,valid,2,0.5712032693,0.7343146335,12.7,1,20
gpt55,t1,L07,L,lower,invalid,0,-1.535117426,-1.505353131,0,0,20
gpt55,t1,L07,L,lower,invalid,1,-0.05492443843,-0,3.6,0.15,20
gpt55,t1,L07,L,lower,invalid,2,-1.314157201,-1.270404344,0.3,0,20
gpt55,t1,L07,L,lower,valid,0,0.1171958415,0.2515648778,4.65,0.65,20
gpt55,t1,L07,L,lower,valid,1,0.6198225246,0.7860118793,6.45,1,20
gpt55,t1,L07,L,lower,valid,2,0.6013807252,0.7664025654,7.65,1,20
gpt55,t1,L08,L,raise,invalid,0,-0.04316769561,-0,0,0,20
gpt55,t1,L08,L,raise,invalid,1,-0.1124540915,-0,2.05,0,20
gpt55,t1,L08,L,raise,invalid,2,-0.9042421916,-0.8345384117,0.35,0,20
gpt55,t1,L08,L,raise,valid,0,0.2596045363,0.4029891903,12.8,1,20
gpt55,t1,L08,L,raise,valid,1,0.65500929,0.8234262504,14.3,1,20
gpt55,t1,L08,L,raise,valid,2,0.6784983579,0.8484023656,18.85,1,20
gpt55,t1,M01,M,lower,invalid,0,-0.5335023363,-0.4403277367,0.7,0,20
gpt55,t1,M01,M,lower,invalid,1,-1.152397933,-1.098404411,1.4,0.05,20
gpt55,t1,M01,M,lower,invalid,2,-0.5159081947,-0.4216197443,1.45,0,20
gpt55,t1,M01,M,lower,valid,0,0.5344694223,0.695255238,4.6,0.45,20
gpt55,t1,M01,M,lower,valid,1,0.642776388,0.8104189072,6,1,20
gpt55,t1,M01,M,lower,valid,2,0.9146736258,1.099529431,6.8,1,20
gpt55,t1,M02,M,raise,invalid,0,-0.9722074921,-0.9068064632,0.1,0,20
gpt55,t1,M02,M,raise,invalid,1,-1.985919931,-1.984695066,0,0,20
gpt55,t1,M02,M,raise,invalid,2,-1.685254323,-1.664994903,2.7,0.2,20
gpt55,t1,M02,M,raise,valid,0,-0.1493117595,0,6.2,1,20
gpt55,t1,M02,M,raise,valid,1,0.003221028355,0.1303745408,8.4,1,20
gpt55,t1,M02,M,raise,valid,2,0.8341411025,1.01389855,5.95,0.95,20
gpt55,t1,M03,M,lower,invalid,0,-0.5388037605,-0.4459647838,10.3,0.8,20
gpt55,t1,M03,M,lower,invalid,1,-0.5125949551,-0.4180967499,10.2,1,20
gpt55,t1,M03,M,lower,invalid,2,-0.9350426931,-0.867288833,0.75,0,20
gpt55,t1,M03,M,lower,valid,0,1.142523083,1.341803594,14.4,1,20
gpt55,t1,M03,M,lower,valid,1,0.2227586748,0.3638106889,9.9,1,20
gpt55,t1,M03,M,lower,valid,2,0.5784484465,0.7420184887,8.8,1,20
gpt55,t1,M04,M,raise,invalid,0,-1.291567034,-1.246384037,0,0,20
gpt55,t1,M04,M,raise,invalid,1,-2.325999896,-2.346304832,0,0,20
gpt55,t1,M04,M,raise,invalid,2,-1.023091524,-0.9609118639,0.35,0,20
gpt55,t1,M04,M,raise,valid,0,-0.1515163802,0,9.25,1,20
gpt55,t1,M04,M,raise,valid,1,0.3866767764,0.538106127,14.25,1,20
gpt55,t1,M04,M,raise,valid,2,0.7716382029,0.9474387131,6.75,1,20
gpt55,t1,M05,M,lower,invalid,0,-1.819289749,-1.807515852,1.05,0,20
gpt55,t1,M05,M,lower,invalid,1,0.03707874372,-0,5.65,0.8,20
gpt55,t1,M05,M,lower,invalid,2,-0.1715495042,-0.05546037439,5,0.6,20
gpt55,t1,M05,M,lower,valid,0,0.5392192855,0.7003058058,7,1,20
gpt55,t1,M05,M,lower,valid,1,0.1072985861,0.2410410464,7.3,1,20
gpt55,t1,M05,M,lower,valid,2,0.4985795323,0.6570932288,6.15,1,20
gpt55,t1,M06,M,lower,invalid,0,-0.04935847467,-0,21.65,1,20
gpt55,t1,M06,M,lower,invalid,1,-0.3156602732,-0.2086945161,38.05,1,20
gpt55,t1,M06,M,lower,invalid,2,0.1627385557,-0,28.95,1,20
gpt55,t1,M06,M,lower,valid,0,1.278531345,1.486422275,19.45,1,20
gpt55,t1,M06,M,lower,valid,1,0.9876727105,1.177149945,17.1,1,20
gpt55,t1,M06,M,lower,valid,2,0.8186373316,0.9974132653,22.95,1,20
gpt55,t1,M07,M,lower,invalid,0,-0.1336688566,-0.01518157664,5.4,0.7,20
gpt55,t1,M07,M,lower,invalid,1,-1.386530143,-1.347359076,0,0,20
gpt55,t1,M07,M,lower,invalid,2,-1.363278696,-1.322635625,8.25,0.7,20
