model,horizon,artefact,tier,direction,tpr,fpr
gpt55,t1,L01,L,lower,1,0.2833333333
gpt55,t1,L02,L,raise,0.8833333333,0
gpt55,t1,L03,L,lower,1,0
gpt55,t1,L04,L,raise,1,0
gpt55,t1,L07,L,lower,0.8833333333,0.05
gpt55,t1,L08,L,raise,1,0
gpt55,t1,M01,M,lower,0.8166666667,0.01666666667
gpt55,t1,M02,M,raise,0.9833333333,0.06666666667
gpt55,t1,M03,M,lower,1,0.6
gpt55,t1,M04,M,raise,1,0
gpt55,t1,M05,M,lower,1,0.4666666667
gpt55,t1,M06,M,lower,1,1
gpt55,t1,M07,M,lower,1,0.4666666667
gpt55,t1,M08,M,lower,1,0.2666666667
gpt55,t1,S01,S,lower,1,0.6166666667
gpt55,t1,S02,S,lower,1,0.1833333333
gpt55,t1,S03,S,raise,1,0.25
gpt55,t1,S04,S,lower,0.01666666667,0.01666666667
gpt55,t1,S05,S,lower,1,0.9833333333
gpt55,t1,S06,S,lower,1,0.4666666667
gpt55,t1,S07,S,raise,0.9333333333,0.3333333333
gpt55,t1,S08,S,lower,0.6666666667,0
gpt55,t2,L01,L,lower,1,0.3666666667
gpt55,t2,L02,L,raise,1,0
gpt55,t2,L03,L,lower,1,0
gpt55,t2,L04,L,raise,1,0
gpt55,t2,L07,L,lower,1,0.2666666667
gpt55,t2,L08,L,raise,1,0
gpt55,t2,M01,M,lower,1,0.01666666667
gpt55,t2,M02,M,raise,1,0.06666666667
gpt55,t2,M03,M,lower,1,0.4333333333
gpt55,t2,M04,M,raise,1,0
gpt55,t2,M05,M,lower,1,0.65
gpt55,t2,M06,M,lower,1,1
gpt55,t2,M07,M,lower,1,0.4833333333
gpt55,t2,M08,M,lower,1,0.55
gpt55,t2,S01,S,lower,1,0.6166666667
gpt55,t2,S02,S,lower,1,0.06666666667
gpt55,t2,S03,S,raise,1,0.03333333333
gpt55,t2,S04,S,lower,0.7833333333,0
gpt55,t2,S05,S,lower,1,1
gpt55,t2,S06,S,lower,1,0.3666666667
