model,horizon,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gpt55,t1,tpr,0.9174242424,0.8227083333,0.9833522727,1000,0
gpt55,t1,fpr,0.2757575758,0.1477083333,0.4159090909,1000,0
gpt55,t1,ads,64.16666667,50.60606061,76.82007576,1000,0
gpt55,t2,tpr,0.9886363636,0.9689393939,1,1000,0
gpt55,t2,fpr,0.271969697,0.1378598485,0.4212310606,1000,0
gpt55,t2,ads,71.66666667,56.7405303,84.5530303,1000,0
gpt55,t3,tpr,1,1,1,1000,0
gpt55,t3,fpr,0.2765151515,0.1371022727,0.4341098485,1000,0
gpt55,t3,ads,72.34848485,56.58901515,86.28977273,1000,0
o4mini,t1,tpr,0.9022727273,0.8098484848,0.9704734848,1000,0
o4mini,t1,fpr,0.5733369008,0.4306164103,0.7233240241,1000,0
o4mini,t1,ads,32.89358265,17.50107767,47.90338806,1000,0
o4mini,t2,tpr,0.9681818182,0.9083333333,0.9992424242,1000,0
o4mini,t2,fpr,0.5528731521,0.4093822883,0.7159855134,1000,0
o4mini,t2,ads,41.53086661,25.8928913,56.09037714,1000,0
o4mini,t3,tpr,0.9863636364,0.9621212121,1,1000,0
o4mini,t3,fpr,0.5286091271,0.3834287656,0.6935365306,1000,0
o4mini,t3,ads,45.77545093,29.87037972,60.08364912,1000,0
