model,horizon,delta,tpr,fpr,ads
gpt55,t1,2,1,0.4439393939,55.60606061
gpt55,t1,5,0.9174242424,0.2757575758,64.16666667
gpt55,t1,10,0.4348484848,0.1568181818,27.8030303
gpt55,t2,2,1,0.4628787879,53.71212121
gpt55,t2,5,0.9886363636,0.271969697,71.66666667
gpt55,t2,10,0.8704545455,0.1454545455,72.5
gpt55,t3,2,1,0.4742424242,52.57575758
gpt55,t3,5,1,0.2765151515,72.34848485
gpt55,t3,10,0.9431818182,0.1234848485,81.96969697
o4mini,t1,2,0.996969697,0.6096053421,38.73643549
o4mini,t1,5,0.9022727273,0.5733369008,32.89358265
o4mini,t1,10,0.6219440164,0.46697069,15.49733264
o4mini,t2,2,0.9984848485,0.6007036846,39.77811639
o4mini,t2,5,0.9681818182,0.5528731521,41.53086661
o4mini,t2,10,0.8916666667,0.4808454525,41.08212141
o4mini,t3,2,0.9984848485,0.5846537935,41.3831055
o4mini,t3,5,0.9863636364,0.5286091271,45.77545093
o4mini,t3,10,0.9560606061,0.4619473309,49.41132752
