model,horizon,variant,tpr,fpr,ads,ads_ci_low,ads_ci_high
gpt55,t1,headline,0.9174242424,0.2757575758,64.16666667,50.60606061,76.82007576
gpt55,t1,two_sided_invalid,0.9174242424,0.2772727273,64.01515152,50.45454545,76.44318182
gpt55,t1,bt_weighted,0.9167012158,0.2284579082,68.82433076,55.01242326,81.34970819
gpt55,t2,headline,0.9886363636,0.271969697,71.66666667,56.7405303,84.5530303
gpt55,t2,two_sided_invalid,0.9886363636,0.2742424242,71.43939394,56.66477273,84.39583333
gpt55,t3,headline,1,0.2765151515,72.34848485,56.58901515,86.28977273
gpt55,t3,two_sided_invalid,1,0.2795454545,72.04545455,56.51325758,85.7594697
o4mini,t1,headline,0.9022727273,0.5733369008,32.89358265,17.50107767,47.90338806
o4mini,t1,two_sided_invalid,0.9022727273,0.5764185649,32.58541624,17.19291126,47.34584738
o4mini,t1,bt_weighted,0.8980503705,0.5284346409,36.96157297,21.41846154,51.71370738
o4mini,t2,headline,0.9681818182,0.5528731521,41.53086661,25.8928913,56.09037714
o4mini,t2,two_sided_invalid,0.9681818182,0.5667846643,40.13971539,25.11791239,54.4917219
o4mini,t3,headline,0.9863636364,0.5286091271,45.77545093,29.87037972,60.08364912
o4mini,t3,two_sided_invalid,0.9863636364,0.5500908939,43.62727425,28.5611747,57.55504743
