model,artefact,tier,direction,validity,idx,bt_rating,x,shift_points,z_mean,update_rate,n_runs
gpt41_prid,L01,L,lower,invalid,0,-0.4526228008,-0.4589377713,10.2,10.2,1,5
gpt41_prid,L01,L,lower,invalid,1,-0.5161613549,-0.5234347811,6,6,0.8,5
gpt41_prid,L01,L,lower,invalid,2,0.02198581798,-0,16.2,16.2,1,5
gpt41_prid,L01,L,lower,valid,0,0.9109174147,0.9251709467,8.4,8.4,1,5
gpt41_prid,L01,L,lower,valid,1,0.638557147,0.6487022246,6.6,6.6,1,5
gpt41_prid,L01,L,lower,valid,2,0.5649508707,0.5739856247,6.6,6.6,1,5
gpt41_prid,L02,L,lower,invalid,0,0.2579388753,-0,41.8,15.79891497,1,5
gpt41_prid,L02,L,lower,invalid,1,-1.223648157,-1.241593762,21,7.937253933,1,5
gpt41_prid,L02,L,lower,invalid,2,-0.8490118135,-0.8613061665,78,29.48122889,1,5
gpt41_prid,L02,L,lower,valid,0,1.061836309,1.078366397,16,6.047431568,1,5
gpt41_prid,L02,L,lower,valid,1,1.045662766,1.061948882,14.6,5.518281306,1,5
gpt41_prid,L02,L,lower,valid,2,0.5994479049,0.6090030339,36.8,13.90909261,1,5
gpt41_prid,L03,L,lower,invalid,0,-1.773831523,-1.800076441,14,14,1,5
gpt41_prid,L03,L,lower,invalid,1,-0.7871840078,-0.798545711,11,11,1,5
gpt41_prid,L03,L,lower,invalid,2,-1.980641407,-2.010005976,55.8,55.8,0.6,5
gpt41_prid,L03,L,lower,valid,0,1.164987368,1.183073452,33,33,1,5
gpt41_prid,L03,L,lower,valid,1,0.6480076708,0.6582953061,14.2,14.2,1,5
gpt41_prid,L03,L,lower,valid,2,0.8032085531,0.8158373366,31.6,31.6,1,5
gpt41_prid,L04,L,lower,invalid,0,-0.2072257601,-0.2098390065,23.8,4.878524367,1,5
gpt41_prid,L04,L,lower,invalid,1,-0.1695742104,-0.1716194971,13.8,2.828724213,1,5
gpt41_prid,L04,L,lower,invalid,2,0.1793149208,-0,47.2,9.675056728,1,5
gpt41_prid,L04,L,lower,valid,0,1.204945496,1.223634333,16,3.279680247,1,5
gpt41_prid,L04,L,lower,valid,1,0.9558098629,0.9707405809,15,3.074700231,1,5
gpt41_prid,L04,L,lower,valid,2,0.8595837174,0.8730628995,56.4,11.56087287,1,5
gpt41_prid,L07,L,lower,invalid,0,-1.535117426,-1.55776143,9.4,8.580986734,1,5
gpt41_prid,L07,L,lower,invalid,1,-0.05492443843,-0.05524027545,9.2,8.398412548,1,5
gpt41_prid,L07,L,lower,invalid,2,-1.314157201,-1.333468101,63.8,58.24116528,1,5
gpt41_prid,L07,L,lower,valid,0,0.1171958415,0.1194763756,23.6,21.54375393,1,5
gpt41_prid,L07,L,lower,valid,1,0.6198225246,0.6296849973,24.6,22.45662486,1,5
gpt41_prid,L07,L,lower,valid,2,0.6013807252,0.6109650102,8.6,7.850689991,0.8,5
gpt41_prid,L08,L,lower,invalid,0,-1.079887412,-1.095664438,13,2.79070214,1,5
gpt41_prid,L08,L,lower,invalid,1,0.148119127,-0,20.2,4.336321786,1,5
gpt41_prid,L08,L,lower,invalid,2,-0.8997369463,-0.9127964692,40,8.586775815,1,5
gpt41_prid,L08,L,lower,valid,0,1.248449366,1.267794444,26.6,5.710205917,1,5
gpt41_prid,L08,L,lower,valid,1,1.220611594,1.239536749,16.2,3.477644205,1,5
gpt41_prid,L08,L,lower,valid,2,1.008746255,1.024475499,30.6,6.568883498,1,5
gpt41_prid,M01,M,lower,invalid,0,-0.5335023363,-0.5410373448,7.4,6.490229343,1,5
gpt41_prid,M01,M,lower,invalid,1,-1.152397933,-1.169268754,9,7.893522174,1,5
gpt41_prid,M01,M,lower,invalid,2,-0.5159081947,-0.5231778021,9,7.893522174,1,5
gpt41_prid,M01,M,lower,valid,0,0.5344694223,0.5430443748,5.4,4.736113304,1,5
gpt41_prid,M01,M,lower,valid,1,0.642776388,0.6529851113,5,4.385290097,1,5
gpt41_prid,M01,M,lower,valid,2,0.9146736258,0.9289838189,6.8,5.963994531,1,5
gpt41_prid,M02,M,raise,invalid,0,-0.9722074921,-0.9863602065,2.6,0.5996452852,0,5
gpt41_prid,M02,M,raise,invalid,1,-1.985919931,-2.015364125,-26.6,-6.134832533,0,5
gpt41_prid,M02,M,raise,invalid,2,-1.685254323,-1.710163086,19.6,4.520402919,1,5
gpt41_prid,M02,M,raise,valid,0,-0.1493117595,0,9.2,2.121821778,1,5
gpt41_prid,M02,M,raise,valid,1,0.003221028355,0.003782294315,12.8,2.952099866,1,5
gpt41_prid,M02,M,raise,valid,2,0.8341411025,0.8472364921,6.4,1.476049933,1,5
gpt41_prid,M03,M,lower,invalid,0,-0.5388037605,-0.546418739,17.2,17.2,1,5
gpt41_prid,M03,M,lower,invalid,1,-0.5125949551,-0.5198145834,14.8,14.8,1,5
gpt41_prid,M03,M,lower,invalid,2,-0.9350426931,-0.9486347902,16.2,16.2,1,5
gpt41_prid,M03,M,lower,valid,0,1.142523083,1.160270302,16.8,16.8,1,5
gpt41_prid,M03,M,lower,valid,1,0.2227586748,0.2266315853,7.8,7.8,1,5
gpt41_prid,M03,M,lower,valid,2,0.5784484465,0.5876868065,8,8,1,5
gpt41_prid,M04,M,raise,invalid,0,-1.291567034,-1.31053717,-3.6,-2.01246118,0.2,5
gpt41_prid,M04,M,raise,invalid,1,-2.325999896,-2.36057407,-20.4,-11.40394669,0,5
gpt41_prid,M04,M,raise,invalid,2,-1.023091524,-1.038011805,18.8,10.50951949,1,5
gpt41_prid,M04,M,raise,valid,0,-0.1515163802,0,14.4,8.049844719,1,5
gpt41_prid,M04,M,raise,valid,1,0.3866767764,0.3930223313,15.4,8.608861713,1,5
gpt41_prid,M04,M,raise,valid,2,0.7716382029,0.7837907592,6.2,3.465905365,1,5
gpt41_prid,M05,M,lower,invalid,0,-1.819289749,-1.846220388,12.4,4.468649815,1,5
gpt41_prid,M05,M,lower,invalid,1,0.03707874372,-0,24.8,8.93729963,1,5
gpt41_prid,M05,M,lower,invalid,2,-0.1715495042,-0.1736245874,23.8,8.576924645,1,5
gpt41_prid,M05,M,lower,valid,0,0.5392192855,0.547865888,9.8,3.531674854,1,5
gpt41_prid,M05,M,lower,valid,1,0.1072985861,0.1094298237,10,3.603749851,1,5
gpt41_prid,M05,M,lower,valid,2,0.4985795323,0.506613099,5.4,1.946024919,0.8,5
