model,horizon,variant,delta,tpr,fpr,ads
gpt41_prid,t1,unweighted,1,0.996969697,0.9545454545,4.242424242
gpt41_prid,t2,unweighted,1,1,0.9787878788,2.121212121
gpt41_prid,t3,unweighted,1,1,0.9939393939,0.6060606061
gpt41_prid,t1,bt_weighted,1,0.9959163888,0.9436880994,5.22282894
gpt41_prid,t1,unweighted,2,0.996969697,0.9545454545,4.242424242
gpt41_prid,t2,unweighted,2,1,0.9787878788,2.121212121
gpt41_prid,t3,unweighted,2,1,0.9939393939,0.6060606061
gpt41_prid,t1,bt_weighted,2,0.9959163888,0.9436880994,5.22282894
gpt41_prid,t1,unweighted,5,0.9575757576,0.9333333333,2.424242424
gpt41_prid,t2,unweighted,5,1,0.9666666667,3.333333333
gpt41_prid,t3,unweighted,5,1,0.9848484848,1.515151515
gpt41_prid,t1,bt_weighted,5,0.9500464334,0.9253641084,2.468232509
gpt41_prid,t1,unweighted,10,0.6212121212,0.7939393939,0
gpt41_prid,t2,unweighted,10,0.9454545455,0.9575757576,0
gpt41_prid,t3,unweighted,10,0.9939393939,0.9787878788,1.515151515
gpt41_prid,t1,bt_weighted,10,0.5993784348,0.7759316678,0
gpt52_prid,t1,unweighted,1,1,0.8424242424,15.75757576
gpt52_prid,t2,unweighted,1,1,0.8393939394,16.06060606
gpt52_prid,t3,unweighted,1,1,0.8212121212,17.87878788
gpt52_prid,t1,bt_weighted,1,1,0.826028062,17.3971938
gpt52_prid,t1,unweighted,2,1,0.8212121212,17.87878788
gpt52_prid,t2,unweighted,2,1,0.8303030303,16.96969697
gpt52_prid,t3,unweighted,2,1,0.8060606061,19.39393939
gpt52_prid,t1,bt_weighted,2,1,0.7984936023,20.15063977
gpt52_prid,t1,unweighted,5,0.8787878788,0.6454545455,23.33333333
gpt52_prid,t2,unweighted,5,0.9787878788,0.7424242424,23.63636364
gpt52_prid,t3,unweighted,5,1,0.7484848485,25.15151515
gpt52_prid,t1,bt_weighted,5,0.8832463345,0.6011907409,28.20555936
gpt52_prid,t1,unweighted,10,0.5242424242,0.4454545455,7.878787879
gpt52_prid,t2,unweighted,10,0.8303030303,0.5696969697,26.06060606
gpt52_prid,t3,unweighted,10,0.9424242424,0.5878787879,35.45454545
gpt52_prid,t1,bt_weighted,10,0.4977409106,0.3923026231,10.54382875
gpt55,t1,unweighted,1,1,0.4522727273,54.77272727
gpt55,t2,unweighted,1,1,0.4833333333,51.66666667
gpt55,t3,unweighted,1,1,0.4946969697,50.53030303
gpt55,t1,bt_weighted,1,1,0.3711873304,62.88126696
gpt55,t1,unweighted,2,1,0.4439393939,55.60606061
gpt55,t2,unweighted,2,1,0.4628787879,53.71212121
gpt55,t3,unweighted,2,1,0.4742424242,52.57575758
gpt55,t1,bt_weighted,2,1,0.3637610369,63.62389631
gpt55,t1,unweighted,5,0.9174242424,0.2757575758,64.16666667
gpt55,t2,unweighted,5,0.9886363636,0.271969697,71.66666667
gpt55,t3,unweighted,5,1,0.2765151515,72.34848485
gpt55,t1,bt_weighted,5,0.9167012158,0.2284579082,68.82433076
gpt55,t1,unweighted,10,0.4348484848,0.1568181818,27.8030303
gpt55,t2,unweighted,10,0.8704545455,0.1454545455,72.5
gpt55,t3,unweighted,10,0.9431818182,0.1234848485,81.96969697
gpt55,t1,bt_weighted,10,0.4142091346,0.1410326518,27.31764828
gpt55_prid,t1,unweighted,1,1,0.4363636364,56.36363636
gpt55_prid,t2,unweighted,1,1,0.4454545455,55.45454545
gpt55_prid,t3,unweighted,1,1,0.4606060606,53.93939394
gpt55_prid,t1,bt_weighted,1,1,0.3449548019,65.50451981
gpt55_prid,t1,unweighted,2,1,0.4272727273,57.27272727
gpt55_prid,t2,unweighted,2,1,0.4363636364,56.36363636
gpt55_prid,t3,unweighted,2,1,0.4393939394,56.06060606
gpt55_prid,t1,bt_weighted,2,1,0.3349277899,66.50722101
gpt55_prid,t1,unweighted,5,0.9060606061,0.2787878788,62.72727273
gpt55_prid,t2,unweighted,5,0.9909090909,0.2787878788,71.21212121
gpt55_prid,t3,unweighted,5,1,0.2848484848,71.51515152
gpt55_prid,t1,bt_weighted,5,0.9095041666,0.2255278562,68.39763105
gpt55_prid,t1,unweighted,10,0.4181818182,0.1666666667,25.15151515
gpt55_prid,t2,unweighted,10,0.8393939394,0.1606060606,67.87878788
gpt55_prid,t3,unweighted,10,0.9303030303,0.1393939394,79.09090909
gpt55_prid,t1,bt_weighted,10,0.3930269751,0.1525605311,24.0466444
gpt5_prid,t1,unweighted,1,0.996969697,0.6848484848,31.21212121
gpt5_prid,t2,unweighted,1,0.996969697,0.7060606061,29.09090909
gpt5_prid,t3,unweighted,1,1,0.6939393939,30.60606061
gpt5_prid,t1,bt_weighted,1,0.9977332602,0.6432010272,35.4532233
gpt5_prid,t1,unweighted,2,0.996969697,0.6787878788,31.81818182
gpt5_prid,t2,unweighted,2,0.996969697,0.7060606061,29.09090909
gpt5_prid,t3,unweighted,2,1,0.6939393939,30.60606061
gpt5_prid,t1,bt_weighted,2,0.9977332602,0.6276398257,37.00934346
gpt5_prid,t1,unweighted,5,0.896969697,0.5727272727,32.42424242
gpt5_prid,t2,unweighted,5,0.9909090909,0.6727272727,31.81818182
gpt5_prid,t3,unweighted,5,0.996969697,0.6696969697,32.72727273
gpt5_prid,t1,bt_weighted,5,0.8784283679,0.5176081942,36.08201737
gpt5_prid,t1,unweighted,10,0.4666666667,0.4484848485,1.818181818
gpt5_prid,t2,unweighted,10,0.8757575758,0.5909090909,28.48484848
gpt5_prid,t3,unweighted,10,0.9515151515,0.6151515152,33.63636364
gpt5_prid,t1,bt_weighted,10,0.4523846086,0.4092085666,4.317604196
o3_prid,t1,unweighted,1,0.996969697,0.8090909091,18.78787879
o3_prid,t2,unweighted,1,1,0.8727272727,12.72727273
o3_prid,t3,unweighted,1,1,0.8666666667,13.33333333
o3_prid,t1,bt_weighted,1,0.998575527,0.7922791195,20.62964075
o3_prid,t1,unweighted,2,0.996969697,0.7787878788,21.81818182
o3_prid,t2,unweighted,2,1,0.8393939394,16.06060606
o3_prid,t3,unweighted,2,1,0.8515151515,14.84848485
o3_prid,t1,bt_weighted,2,0.998575527,0.7519528209,24.66227062
o3_prid,t1,unweighted,5,0.8939393939,0.6272727273,26.66666667
o3_prid,t2,unweighted,5,0.996969697,0.7333333333,26.36363636
o3_prid,t3,unweighted,5,1,0.7454545455,25.45454545
o3_prid,t1,bt_weighted,5,0.8880777574,0.6035679525,28.4509805
o3_prid,t1,unweighted,10,0.4272727273,0.4151515152,1.212121212
o3_prid,t2,unweighted,10,0.903030303,0.5696969697,33.33333333
o3_prid,t3,unweighted,10,0.9545454545,0.6181818182,33.63636364
o3_prid,t1,bt_weighted,10,0.4286594939,0.4126502567,1.60092372
o4mini,t1,unweighted,1,0.9977272727,0.6096053421,38.81219307
o4mini,t2,unweighted,1,0.9984848485,0.6007036846,39.77811639
o4mini,t3,unweighted,1,0.9984848485,0.5861950683,41.22897802
o4mini,t1,bt_weighted,1,0.9987864253,0.5727890914,42.59973339
o4mini,t1,unweighted,2,0.996969697,0.6096053421,38.73643549
o4mini,t2,unweighted,2,0.9984848485,0.6007036846,39.77811639
o4mini,t3,unweighted,2,0.9984848485,0.5846537935,41.3831055
o4mini,t1,bt_weighted,2,0.9986785446,0.5727890914,42.58894533
o4mini,t1,unweighted,5,0.9022727273,0.5733369008,32.89358265
o4mini,t2,unweighted,5,0.9681818182,0.5528731521,41.53086661
o4mini,t3,unweighted,5,0.9863636364,0.5286091271,45.77545093
