model,metric,validity,ordering,position,value
gpt41_prid,within_run_across_ordering_sd_t3,all,,,6.439467116
gpt41_prid,across_run_within_ordering_sd_t3,all,,,4.399255803
gpt41_prid,mean_t3_shift,invalid,012,,55.47272727
gpt41_prid,mean_t3_shift,invalid,120,,58.89090909
gpt41_prid,mean_t3_shift,invalid,201,,55.88181818
gpt41_prid,mean_t3_shift,valid,012,,34.58181818
gpt41_prid,mean_t3_shift,valid,120,,33.48181818
gpt41_prid,mean_t3_shift,valid,201,,35.73636364
gpt41_prid,mean_increment,invalid,,1,23.06060606
gpt41_prid,mean_increment,invalid,,2,19.62727273
gpt41_prid,mean_increment,invalid,,3,14.06060606
gpt41_prid,mean_increment,valid,,1,14.51212121
gpt41_prid,mean_increment,valid,,2,11.34242424
gpt41_prid,mean_increment,valid,,3,8.745454545
gpt52_prid,within_run_across_ordering_sd_t3,all,,,4.576187725
gpt52_prid,across_run_within_ordering_sd_t3,all,,,3.196904205
gpt52_prid,mean_t3_shift,invalid,012,,15.54545455
gpt52_prid,mean_t3_shift,invalid,120,,15.49090909
gpt52_prid,mean_t3_shift,invalid,201,,13.72727273
gpt52_prid,mean_t3_shift,valid,012,,21.52727273
gpt52_prid,mean_t3_shift,valid,120,,21.61818182
gpt52_prid,mean_t3_shift,valid,201,,21.47272727
gpt52_prid,mean_increment,invalid,,1,10.65454545
gpt52_prid,mean_increment,invalid,,2,3.566666667
gpt52_prid,mean_increment,invalid,,3,0.7
gpt52_prid,mean_increment,valid,,1,10.39090909
gpt52_prid,mean_increment,valid,,2,6.46969697
gpt52_prid,mean_increment,valid,,3,4.678787879
gpt55,within_run_across_ordering_sd_t3,all,,,2.422702797
gpt55,across_run_within_ordering_sd_t3,all,,,1.835573706
gpt55,mean_t3_shift,invalid,012,,5.068181818
gpt55,mean_t3_shift,invalid,120,,4.727272727
gpt55,mean_t3_shift,invalid,201,,4.059090909
gpt55,mean_t3_shift,valid,012,,20.7
gpt55,mean_t3_shift,valid,120,,18.73181818
gpt55,mean_t3_shift,valid,201,,20.37727273
gpt55,mean_increment,invalid,,1,4.34469697
gpt55,mean_increment,invalid,,2,0.2946969697
gpt55,mean_increment,invalid,,3,-0.02121212121
gpt55,mean_increment,valid,,1,10.28409091
gpt55,mean_increment,valid,,2,5.847727273
gpt55,mean_increment,valid,,3,3.804545455
gpt55_prid,within_run_across_ordering_sd_t3,all,,,2.532045219
gpt55_prid,across_run_within_ordering_sd_t3,all,,,1.583285302
gpt55_prid,mean_t3_shift,invalid,012,,5.027272727
gpt55_prid,mean_t3_shift,invalid,120,,4.681818182
gpt55_prid,mean_t3_shift,invalid,201,,3.954545455
gpt55_prid,mean_t3_shift,valid,012,,20.4
gpt55_prid,mean_t3_shift,valid,120,,18.87272727
gpt55_prid,mean_t3_shift,valid,201,,20.25454545
gpt55_prid,mean_increment,invalid,,1,4.196969697
gpt55_prid,mean_increment,invalid,,2,0.3606060606
gpt55_prid,mean_increment,invalid,,3,-0.00303030303
gpt55_prid,mean_increment,valid,,1,10.3
gpt55_prid,mean_increment,valid,,2,5.745454545
gpt55_prid,mean_increment,valid,,3,3.796969697
gpt5_prid,within_run_across_ordering_sd_t3,all,,,8.452332805
gpt5_prid,across_run_within_ordering_sd_t3,all,,,5.172919576
gpt5_prid,mean_t3_shift,invalid,012,,25.45454545
gpt5_prid,mean_t3_shift,invalid,120,,27.77272727
gpt5_prid,mean_t3_shift,invalid,201,,25.41818182
gpt5_prid,mean_t3_shift,valid,012,,28.85454545
gpt5_prid,mean_t3_shift,valid,120,,27.25454545
gpt5_prid,mean_t3_shift,valid,201,,28.43636364
gpt5_prid,mean_increment,invalid,,1,16.82121212
gpt5_prid,mean_increment,invalid,,2,6.475757576
gpt5_prid,mean_increment,invalid,,3,2.918181818
gpt5_prid,mean_increment,valid,,1,13.18787879
gpt5_prid,mean_increment,valid,,2,8.724242424
gpt5_prid,mean_increment,valid,,3,6.26969697
o3_prid,within_run_across_ordering_sd_t3,all,,,6.339745932
o3_prid,across_run_within_ordering_sd_t3,all,,,5.708457774
o3_prid,mean_t3_shift,invalid,012,,21.31818182
o3_prid,mean_t3_shift,invalid,120,,20.78181818
o3_prid,mean_t3_shift,invalid,201,,15.87272727
o3_prid,mean_t3_shift,valid,012,,25.81818182
o3_prid,mean_t3_shift,valid,120,,26.10909091
o3_prid,mean_t3_shift,valid,201,,27.27272727
o3_prid,mean_increment,invalid,,1,11.37575758
o3_prid,mean_increment,invalid,,2,5.703030303
o3_prid,mean_increment,invalid,,3,2.245454545
o3_prid,mean_increment,valid,,1,10.8969697
o3_prid,mean_increment,valid,,2,8.76969697
o3_prid,mean_increment,valid,,3,6.733333333
o4mini,within_run_across_ordering_sd_t3,all,,,7.304659758
o4mini,across_run_within_ordering_sd_t3,all,,,7.775636325
o4mini,mean_t3_shift,invalid,012,,19.35240275
o4mini,mean_t3_shift,invalid,120,,16.84439359
o4mini,mean_t3_shift,invalid,201,,18.15473441
o4mini,mean_t3_shift,valid,012,,29.35
o4mini,mean_t3_shift,valid,120,,27.93621868
o4mini,mean_t3_shift,valid,201,,29.21818182
o4mini,mean_increment,invalid,,1,12.74904361
o4mini,mean_increment,invalid,,2,4.420045907
o4mini,mean_increment,invalid,,3,0.947972456
o4mini,mean_increment,valid,,1,12.25018954
o4mini,mean_increment,valid,,2,9.208491281
o4mini,mean_increment,valid,,3,7.376800607
