model,metric,variant,validity,r_runs,artefact,value
gpt41_prid,subsample_point_sd,bt_weighted,,2,,1.390633722
gpt41_prid,subsample_point_bias,bt_weighted,,2,,0.07958104023
gpt41_prid,subsample_point_sd,unweighted,,2,,1.209715711
gpt41_prid,subsample_point_bias,unweighted,,2,,0.05303030303
gpt41_prid,subsample_point_sd,bt_weighted,,5,,0
gpt41_prid,subsample_point_bias,bt_weighted,,5,,0
gpt41_prid,subsample_point_sd,unweighted,,5,,0
gpt41_prid,subsample_point_bias,unweighted,,5,,0
gpt41_prid,subsample_point_sd,bt_weighted,,10,,0
gpt41_prid,subsample_point_bias,bt_weighted,,10,,0
gpt41_prid,subsample_point_sd,unweighted,,10,,0
gpt41_prid,subsample_point_bias,unweighted,,10,,0
gpt41_prid,subsample_ci_width_mean,bt_weighted,,5,,13.61724289
gpt41_prid,subsample_ci_width_mean,unweighted,,5,,12.59469697
gpt41_prid,full_ci_width,bt_weighted,,5,,13.64632564
gpt41_prid,full_ci_width,unweighted,,5,,12.43181818
gpt41_prid,var_between_artefact_observed,unweighted,,,,611.8326118
gpt41_prid,var_within_run_noise,unweighted,,,,18.99746842
gpt41_prid,run_noise_share,unweighted,,,,0.03105010758
gpt41_prid,var_between_artefact_true,unweighted,,,,592.8351434
gpt41_prid,predicted_ci_inflation,unweighted,,2,,1.023022562
gpt41_prid,predicted_ci_inflation,unweighted,,5,,1
gpt41_prid,predicted_ci_inflation,unweighted,,10,,0.9922071085
gpt41_prid,between_argument_sd,,valid,,,0.02624319405
gpt41_prid,mean_binomial_var,,valid,,,0.01818181818
gpt41_prid,between_argument_sd,,invalid,,,0.06604139513
gpt41_prid,mean_binomial_var,,invalid,,,0.008484848485
gpt41_prid,s0_coupling_corr,,,,,nan
gpt52_prid,subsample_point_sd,bt_weighted,,2,,2.696473404
gpt52_prid,subsample_point_bias,bt_weighted,,2,,0.03453476248
gpt52_prid,subsample_point_sd,unweighted,,2,,2.08394408
gpt52_prid,subsample_point_bias,unweighted,,2,,0.1742424242
gpt52_prid,subsample_point_sd,bt_weighted,,5,,0
gpt52_prid,subsample_point_bias,bt_weighted,,5,,0
gpt52_prid,subsample_point_sd,unweighted,,5,,0
gpt52_prid,subsample_point_bias,unweighted,,5,,0
gpt52_prid,subsample_point_sd,bt_weighted,,10,,0
gpt52_prid,subsample_point_bias,bt_weighted,,10,,0
gpt52_prid,subsample_point_sd,unweighted,,10,,0
gpt52_prid,subsample_point_bias,unweighted,,10,,0
gpt52_prid,subsample_ci_width_mean,bt_weighted,,5,,25.34608798
gpt52_prid,subsample_ci_width_mean,unweighted,,5,,23.93181818
gpt52_prid,full_ci_width,bt_weighted,,5,,25.57617197
gpt52_prid,full_ci_width,unweighted,,5,,23.34090909
gpt52_prid,var_between_artefact_observed,unweighted,,,,892.0634921
