model,horizon,variant,delta,n_artefacts,tpr,fpr,ads,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,ads_ci_low,ads_ci_high,n_trimmed_arguments
gpt41_prid,t1,bt_weighted,5,22,0.9500464334,0.9253641084,2.468232509,0.8788104391,0.9960430116,0.8314923389,0.9951561167,0,13.64632564,
gpt41_prid,t1,unweighted,5,22,0.9575757576,0.9333333333,2.424242424,0.8939393939,0.996969697,0.8454545455,0.996969697,0,12.43181818,
gpt41_prid,t2,unweighted,5,22,1,0.9666666667,3.333333333,1,1,0.9212121212,1,0,7.878787879,
gpt41_prid,t3,unweighted,5,22,1,0.9848484848,1.515151515,1,1,0.9606060606,1,0,3.939393939,
gpt41_prid,t1,two_sided_invalid,5,22,0.9575757576,0.9757575758,0,0.8939393939,0.996969697,0.9363636364,1,0,4.242424242,
gpt41_prid,t1,drop_s01_bt_weighted,5,21,0.9476676922,0.9218100183,2.58576739,0.8727287359,0.9958545836,0.8276035437,0.9949254556,0,14.29401736,
gpt41_prid,t1,drop_s01_unweighted,5,21,0.9555555556,0.9301587302,2.53968254,0.8888888889,0.9968253968,0.8412698413,0.9968253968,0,13.34126984,
gpt41_prid,t1,boundary_trimmed,5,21,0.9507936508,0.9285714286,2.222222222,0.8825396825,0.9952380952,0.8380952381,0.9952380952,0,12.6984127,23
gpt52_prid,t1,bt_weighted,5,22,0.8832463345,0.6011907409,28.20555936,0.7757697921,0.9744337932,0.4615270599,0.7357951303,15.97370574,41.54987771,
gpt52_prid,t1,unweighted,5,22,0.8787878788,0.6454545455,23.33333333,0.7696969697,0.9697727273,0.5060606061,0.7697727273,12.12121212,35.46212121,
gpt52_prid,t2,unweighted,5,22,0.9787878788,0.7424242424,23.63636364,0.9363636364,1,0.6090151515,0.8666666667,12.42424242,36.06818182,
gpt52_prid,t3,unweighted,5,22,1,0.7484848485,25.15151515,1,1,0.596969697,0.8848484848,11.51515152,40.3030303,
gpt52_prid,t1,two_sided_invalid,5,22,0.8787878788,0.6454545455,23.33333333,0.7696969697,0.9697727273,0.5060606061,0.7697727273,12.12121212,35.46212121,
gpt52_prid,t1,drop_s01_bt_weighted,5,21,0.8776866361,0.5879666478,28.97199884,0.7560276575,0.9707491109,0.4374011635,0.7351885731,16.29833952,43.10066194,
gpt52_prid,t1,drop_s01_unweighted,5,21,0.873015873,0.6317460317,24.12698413,0.7554761905,0.9682539683,0.4856349206,0.7683333333,12.06349206,37.15079365,
