model,variant,validity,turn,mean_z,ci_low,ci_high,n_artefacts
gpt41_prid,unweighted,valid,0,0,0,0,22
gpt41_prid,unweighted,valid,1,8.219773146,6.060033832,10.72448395,22
gpt41_prid,unweighted,valid,2,14.54162776,11.0274526,18.74743155,22
gpt41_prid,unweighted,valid,3,19.41275259,14.97867904,24.77991191,22
gpt41_prid,unweighted,invalid,0,0,0,0,22
gpt41_prid,unweighted,invalid,1,14.09805863,10.3382571,18.12819608,22
gpt41_prid,unweighted,invalid,2,26.67222207,19.97885044,33.94906812,22
gpt41_prid,unweighted,invalid,3,36.20230017,26.99949099,46.1016271,22
gpt41_prid,bt_weighted,valid,0,0,0,0,22
gpt41_prid,bt_weighted,valid,1,8.093584666,5.863303055,10.78910832,22
gpt41_prid,bt_weighted,valid,2,14.67172272,11.0018456,19.04951368,22
gpt41_prid,bt_weighted,valid,3,19.41275259,14.97867904,24.77991191,22
gpt41_prid,bt_weighted,invalid,0,0,0,0,22
gpt41_prid,bt_weighted,invalid,1,14.53519844,9.886612073,19.58052475,22
gpt41_prid,bt_weighted,invalid,2,26.73390074,19.69229451,34.3214657,22
gpt41_prid,bt_weighted,invalid,3,36.20230017,26.99949099,46.1016271,22
gpt52_prid,unweighted,valid,0,0,0,0,22
gpt52_prid,unweighted,valid,1,6.370511754,4.989291682,7.885064936,22
gpt52_prid,unweighted,valid,2,10.61236355,8.245891505,13.21459796,22
gpt52_prid,unweighted,valid,3,13.70935464,10.69586769,16.93475725,22
gpt52_prid,unweighted,invalid,0,0,0,0,22
gpt52_prid,unweighted,invalid,1,6.670568901,4.673045384,8.716271022,22
gpt52_prid,unweighted,invalid,2,8.880048259,6.374118076,11.6130887,22
gpt52_prid,unweighted,invalid,3,9.10892783,6.18054314,12.5503743,22
gpt52_prid,bt_weighted,valid,0,0,0,0,22
gpt52_prid,bt_weighted,valid,1,6.253519482,4.894405394,7.791883101,22
gpt52_prid,bt_weighted,valid,2,10.60627554,8.21162544,13.16917357,22
gpt52_prid,bt_weighted,valid,3,13.70935464,10.69586769,16.93475725,22
gpt52_prid,bt_weighted,invalid,0,0,0,0,22
gpt52_prid,bt_weighted,invalid,1,6.123353759,4.137565465,8.276835349,22
gpt52_prid,bt_weighted,invalid,2,8.707444283,6.239820074,11.45146455,22
