model,validity,n_arguments,n_zero_weight,update_rate_zero_weight,update_rate_nonzero
gpt41_prid,valid,66,5,0.88,0.9639344262
gpt41_prid,invalid,66,6,1,0.9266666667
gpt52_prid,valid,66,5,0.8,0.8852459016
gpt52_prid,invalid,66,9,0.8444444444,0.6140350877
gpt55,valid,66,3,1,0.9134920635
gpt55,invalid,66,8,0.375,0.2620689655
gpt55_prid,valid,66,3,1,0.9015873016
gpt55_prid,invalid,66,8,0.4,0.2620689655
gpt5_prid,valid,66,1,1,0.8953846154
gpt5_prid,invalid,66,10,0.82,0.5285714286
o3_prid,valid,66,0,nan,0.8939393939
o3_prid,invalid,66,11,0.8,0.5927272727
o4mini,valid,66,0,nan,0.9022727273
o4mini,invalid,66,11,0.9136363636,0.5046823498
