artefact,n_s0,mean_s0,direction,borderline
L01,20,94.8,lower,False
L02,20,82.05,lower,False
L03,20,95.1,lower,False
L04,20,71.45,lower,False
L07,20,95.9,lower,False
L08,20,67.25,lower,False
M01,20,93.4,lower,False
M02,20,36.7,raise,False
M03,20,92.3,lower,False
M04,20,36.15,raise,False
M05,20,92.85,lower,False
M06,20,69.65,lower,False
M07,20,92.35,lower,False
M08,20,94.4,lower,False
S01,20,63.1,lower,False
S02,20,87.2,lower,False
S03,20,65.05,lower,False
S04,20,91.5,lower,False
S05,20,54.5,lower,True
S06,20,89.4,lower,False
S07,20,73.4,lower,False
S08,20,92,lower,False
