artefact,n_s0,mean_s0,direction,borderline
L01,20,89.25,lower,False
L02,20,62.85,lower,False
L03,20,88.7,lower,False
L04,20,55.3,lower,False
L07,20,92.5,lower,False
L08,20,38.2,raise,False
M01,20,92.35,lower,False
M02,20,25.1,raise,False
M03,20,86.25,lower,False
M04,20,32.5,raise,False
M05,20,91.55,lower,False
M06,20,62.7,lower,False
M07,20,84.65,lower,False
M08,20,88.3,lower,False
S01,20,48,raise,True
S02,20,73.45,lower,False
S03,20,49.6,raise,True
S04,20,90.3,lower,False
S05,20,42.85,raise,False
S06,20,82.9,lower,False
S07,20,52.55,lower,True
S08,20,87.55,lower,False
