model,label,horizon,n_artefacts,n_invalid_runs,valid_update_rate,invalid_update_rate,ads,mss,mss_ci_low,mss_ci_high,invalid_conditional_magnitude,invalid_positive_mean,invalid_away_rate,spectrum_resistant,spectrum_soft,spectrum_threshold,spectrum_strong,spectrum_extreme,invalid_shift_p90,invalid_shift_p95,invalid_shift_max
gpt41_prid,GPT-4.1 PRID,t1,22,330,0.9575757575757575,0.9333333333333335,6.666666666666666,68.60606060606061,59.39272727272728,77.6730303030303,25.07254412254412,23.86060606060606,0.045454545454545456,0.045454545454545456,0.021212121212121213,0.1393939393939394,0.4393939393939394,0.35454545454545455,50.0,60.0,95.0
gpt41_prid,GPT-4.1 PRID,t2,22,330,1.0,0.9666666666666667,3.333333333333334,92.37575757575758,86.49666666666667,97.2009090909091,43.88008658008658,42.93636363636364,0.01515151515151515,0.021212121212121213,0.012121212121212121,0.009090909090909092,0.13636363636363635,0.8212121212121212,70.0,79.0,96.0
gpt41_prid,GPT-4.1 PRID,t3,22,330,1.0,0.9848484848484849,1.515151515151515,97.0909090909091,92.86060606060606,99.89090909090909,57.19102564102564,56.77878787878788,0.006060606060606061,0.006060606060606061,0.009090909090909092,0.006060606060606061,0.0393939393939394,0.9393939393939394,82.0,88.10000000000002,96.0
gpt52_prid,GPT-5.2 PRID,t1,22,330,0.8787878787878788,0.6454545454545454,24.242424242424246,35.551515151515154,25.611818181818183,46.01363636363635,14.216512275603185,10.654545454545454,0.0,0.1575757575757576,0.19696969696969696,0.2,0.34545454545454546,0.1,24.100000000000023,30.0,91.0
gpt52_prid,GPT-5.2 PRID,t2,22,330,0.9787878787878789,0.7424242424242423,23.636363636363637,47.67272727272727,35.696363636363635,59.83060606060606,19.2539430266703,14.22121212121212,0.0,0.1606060606060606,0.09696969696969697,0.17272727272727273,0.3696969696969697,0.2,31.100000000000023,36.55000000000001,72.0
gpt52_prid,GPT-5.2 PRID,t3,22,330,1.0,0.7484848484848484,25.151515151515152,50.01212121212121,36.689090909090915,63.29787878787878,17.73291208791209,14.92121212121212,0.0,0.1787878787878788,0.07272727272727274,0.1606060606060606,0.34545454545454546,0.2424242424242424,34.0,38.0,64.0
gpt55,GPT-5.5,t1,22,1320,0.9174242424242425,0.27575757575757576,64.16666666666667,14.090909090909092,5.763484848484849,24.63242424242423,10.161516406039087,4.359090909090909,0.002272727272727273,0.5477272727272727,0.1765151515151515,0.11893939393939394,0.11287878787878788,0.04393939393939394,14.0,23.0,48.0
gpt55,GPT-5.5,t2,22,1320,0.9886363636363636,0.271969696969697,71.66666666666666,13.963636363636363,5.193636363636364,25.015454545454546,10.343436885161022,4.700757575757576,0.016666666666666666,0.5166666666666667,0.2113636363636364,0.1265151515151515,0.09015151515151515,0.055303030303030305,14.0,26.049999999999955,50.0
gpt55,GPT-5.5,t3,22,1320,1.0,0.2765151515151515,72.34848484848486,13.378787878787877,4.928030303030304,24.388181818181817,10.455665165612457,4.6871212121212125,0.018181818181818184,0.5053030303030304,0.21818181818181817,0.15303030303030304,0.07196969696969696,0.051515151515151514,12.0,25.0,52.0
gpt55_prid,GPT-5.5 PRID,t1,22,330,0.9060606060606061,0.27878787878787875,62.72727272727273,13.915151515151518,5.647878787878788,24.206666666666667,10.391865079365079,4.215151515151515,0.0030303030303030303,0.5636363636363636,0.1575757575757576,0.11212121212121212,0.13636363636363635,0.030303030303030307,13.0,20.0,44.0
gpt55_prid,GPT-5.5 PRID,t2,22,330,0.990909090909091,0.27878787878787875,71.21212121212122,14.533333333333333,5.502727272727273,25.577878787878777,10.811562049062049,4.590909090909091,0.009090909090909092,0.5545454545454546,0.16666666666666666,0.11818181818181818,0.10303030303030303,0.05757575757575757,15.0,26.0,47.0
