model,label,spectrum_level,proportion
gpt41_prid,GPT-4.1 PRID,resistant,0.045454545454545456
gpt41_prid,GPT-4.1 PRID,soft,0.021212121212121213
gpt41_prid,GPT-4.1 PRID,threshold,0.1393939393939394
gpt41_prid,GPT-4.1 PRID,strong,0.4393939393939394
gpt41_prid,GPT-4.1 PRID,extreme,0.35454545454545455
gpt52_prid,GPT-5.2 PRID,resistant,0.1575757575757576
gpt52_prid,GPT-5.2 PRID,soft,0.19696969696969696
gpt52_prid,GPT-5.2 PRID,threshold,0.2
gpt52_prid,GPT-5.2 PRID,strong,0.34545454545454546
gpt52_prid,GPT-5.2 PRID,extreme,0.1
gpt55,GPT-5.5,resistant,0.5477272727272727
gpt55,GPT-5.5,soft,0.1765151515151515
gpt55,GPT-5.5,threshold,0.11893939393939394
gpt55,GPT-5.5,strong,0.11287878787878788
gpt55,GPT-5.5,extreme,0.04393939393939394
gpt55_prid,GPT-5.5 PRID,resistant,0.5636363636363636
gpt55_prid,GPT-5.5 PRID,soft,0.1575757575757576
gpt55_prid,GPT-5.5 PRID,threshold,0.11212121212121212
gpt55_prid,GPT-5.5 PRID,strong,0.13636363636363635
gpt55_prid,GPT-5.5 PRID,extreme,0.030303030303030307
gpt5_prid,GPT-5 PRID,resistant,0.3151515151515152
gpt5_prid,GPT-5 PRID,soft,0.11212121212121212
gpt5_prid,GPT-5 PRID,threshold,0.12424242424242425
gpt5_prid,GPT-5 PRID,strong,0.13939393939393938
gpt5_prid,GPT-5 PRID,extreme,0.3090909090909091
o3_prid,o3 PRID,resistant,0.19090909090909092
o3_prid,o3 PRID,soft,0.18181818181818182
o3_prid,o3 PRID,threshold,0.21212121212121213
o3_prid,o3 PRID,strong,0.2696969696969697
o3_prid,o3 PRID,extreme,0.14545454545454548
o4mini,o4-mini,resistant,0.39039465794287537
o4mini,o4-mini,soft,0.03626844128013035
o4mini,o4-mini,threshold,0.1063662107423066
o4mini,o4-mini,strong,0.2666052168170812
o4mini,o4-mini,extreme,0.20036547321760648
