artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,valid,0,012,90,85,80,78
L01,L,lower,valid,0,120,90,85,83,80
L01,L,lower,valid,0,201,90,88,80,70
L01,L,lower,valid,1,012,90,85,80,78
L01,L,lower,valid,1,120,90,82,80,75
L01,L,lower,valid,1,201,90,88,80,70
L01,L,lower,valid,2,012,92,85,78,75
L01,L,lower,valid,2,120,92,87,85,80
L01,L,lower,valid,2,201,92,88,82,75
L01,L,lower,valid,3,012,90,75,65,60
L01,L,lower,valid,3,120,90,85,83,80
L01,L,lower,valid,3,201,90,88,82,75
L01,L,lower,valid,4,012,92,80,70,60
L01,L,lower,valid,4,120,92,85,83,78
L01,L,lower,valid,4,201,92,90,85,80
L01,L,lower,valid,5,012,90,85,80,78
L01,L,lower,valid,5,120,90,85,83,80
L01,L,lower,valid,5,201,90,80,65,55
L01,L,lower,valid,6,012,92,85,78,75
L01,L,lower,valid,6,120,92,88,86,81
L01,L,lower,valid,6,201,92,88,83,78
L01,L,lower,valid,7,012,93,85,80,78
L01,L,lower,valid,7,120,93,88,86,82
L01,L,lower,valid,7,201,93,90,85,80
L01,L,lower,valid,8,012,92,75,65,60
L01,L,lower,valid,8,120,92,85,88,80
L01,L,lower,valid,8,201,92,90,85,80
L01,L,lower,valid,9,012,90,85,80,78
L01,L,lower,valid,9,120,90,85,83,78
L01,L,lower,valid,9,201,90,88,80,75
L01,L,lower,valid,10,012,90,80,70,65
L01,L,lower,valid,10,120,90,85,83,80
L01,L,lower,valid,10,201,90,87,82,77
L01,L,lower,valid,11,012,90,80,70,65
L01,L,lower,valid,11,120,90,85,83,78
L01,L,lower,valid,11,201,90,88,82,77
L01,L,lower,valid,12,012,95,80,70,65
L01,L,lower,valid,12,120,95,90,88,83
L01,L,lower,valid,12,201,95,93,85,80
L01,L,lower,valid,13,012,90,80,70,65
L01,L,lower,valid,13,120,90,85,83,80
L01,L,lower,valid,13,201,90,88,80,70
L01,L,lower,valid,14,012,90,80,75,70
L01,L,lower,valid,14,120,90,85,83,80
L01,L,lower,valid,14,201,90,88,80,75
L01,L,lower,valid,15,012,93,85,80,78
L01,L,lower,valid,15,120,93,88,85,80
L01,L,lower,valid,15,201,93,90,85,80
L01,L,lower,valid,16,012,90,80,70,65
L01,L,lower,valid,16,120,90,85,83,80
L01,L,lower,valid,16,201,90,88,80,75
L01,L,lower,valid,17,012,90,80,70,68
L01,L,lower,valid,17,120,90,85,83,78
L01,L,lower,valid,17,201,90,88,80,75
L01,L,lower,valid,18,012,90,80,70,65
L01,L,lower,valid,18,120,90,85,83,78
L01,L,lower,valid,18,201,90,88,80,75
L01,L,lower,valid,19,012,92,85,80,78
L01,L,lower,valid,19,120,92,88,85,82
L01,L,lower,valid,19,201,92,88,80,70
L01,L,lower,invalid,0,012,90,85,80,80
L01,L,lower,invalid,0,120,90,90,90,90
L01,L,lower,invalid,0,201,90,80,90,90
L01,L,lower,invalid,1,012,90,70,60,80
L01,L,lower,invalid,1,120,90,90,90,90
L01,L,lower,invalid,1,201,90,75,85,88
L01,L,lower,invalid,2,012,92,85,90,90
L01,L,lower,invalid,2,120,92,92,92,92
L01,L,lower,invalid,2,201,92,85,92,92
L01,L,lower,invalid,3,012,90,70,65,85
L01,L,lower,invalid,3,120,90,90,90,90
L01,L,lower,invalid,3,201,90,70,88,90
L01,L,lower,invalid,4,012,92,75,80,90
