raw>=1,raw>=5,raw>=10,2*sigmaDelta,1*sigma0,2*sigma0,delta=0,mean_z,sigma0,n,key,validity,bt,model
1.0,1.0,0.7,0.65,1.0,1.0,1.0,9.570313659483865,1.4680814547887795,20,L01|lower|invalid|0,invalid,-0.452622800761353,o4-mini
0.35,0.15,0.0,0.15,0.35,0.15,0.35,0.7833352817371135,1.4680814547887795,20,L01|lower|invalid|1,invalid,-0.5161613548560127,o4-mini
0.85,0.7,0.5,0.35,0.85,0.75,0.85,6.300740309624609,1.4680814547887795,20,L01|lower|invalid|2,invalid,0.0219858179806936,o4-mini
1.0,1.0,0.55,0.8,1.0,1.0,1.0,6.334798365352308,1.4680814547887795,20,L01|lower|valid|0,valid,0.9109174147245832,o4-mini
1.0,0.9,0.0,1.0,1.0,1.0,1.0,3.5760958514085615,1.4680814547887795,20,L01|lower|valid|1,valid,0.6385571470415725,o4-mini
1.0,0.05,0.05,0.2,1.0,0.35,1.0,1.9413091764789336,1.4680814547887795,20,L01|lower|valid|2,valid,0.5649508706841176,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.709608475411085,5.954874164563805,20,L02|lower|invalid|0,invalid,0.2579388753218067,o4-mini
1.0,1.0,1.0,0.8,1.0,0.9,1.0,4.282206356558314,5.954874164563805,20,L02|lower|invalid|1,invalid,-1.2236481573652631,o4-mini
1.0,1.0,0.95,0.9,0.95,0.95,1.0,8.438465467335499,5.954874164563805,20,L02|lower|invalid|2,invalid,-0.8490118135355957,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1906635597885478,5.954874164563805,20,L02|lower|valid|0,valid,1.061836309396732,o4-mini
1.0,1.0,1.0,1.0,1.0,0.8,1.0,2.434980085101787,5.954874164563805,20,L02|lower|valid|1,valid,1.0456627658170958,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.42330953483747,5.954874164563805,20,L02|lower|valid|2,valid,0.5994479048813766,o4-mini
0.3684210526315789,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.21052631578947367,0.3684210526315789,1.5707021560938583,1.005249379900069,19,L03|lower|invalid|0,invalid,-1.773831523397765,o4-mini
0.05,0.0,0.0,0.05,0.05,0.0,0.05,0.09947780321927771,1.005249379900069,20,L03|lower|invalid|1,invalid,-0.787184007819113,o4-mini
0.35,0.05,0.05,0.05,0.35,0.05,0.35,4.973890160963885,1.005249379900069,20,L03|lower|invalid|2,invalid,-1.980641407206789,o4-mini
1.0,1.0,1.0,0.85,1.0,1.0,1.0,32.1313304398267,1.005249379900069,20,L03|lower|valid|0,valid,1.1649873681569265,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.966187416694074,1.005249379900069,20,L03|lower|valid|1,valid,0.6480076708096758,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.47428078328694,1.005249379900069,20,L03|lower|valid|2,valid,0.803208553139434,o4-mini
0.9,0.9,0.65,0.25,0.9,0.65,0.9,3.1762127802731968,4.801315609179148,20,L04|lower|invalid|0,invalid,-0.2072257601222548,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9884901470315888,4.801315609179148,20,L04|lower|invalid|1,invalid,-0.1695742104481127,o4-mini
1.0,1.0,1.0,0.9,1.0,1.0,1.0,9.02877534589135,4.801315609179148,20,L04|lower|invalid|2,invalid,0.1793149208003144,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.696903399990114,4.801315609179148,20,L04|lower|valid|0,valid,1.2049454960451975,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.447245912669513,4.801315609179148,20,L04|lower|valid|1,valid,0.9558098628650776,o4-mini
1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.893121774621434,4.801315609179148,20,L04|lower|valid|2,valid,0.85958371743788,o4-mini
0.5,0.05555555555555555,0.0,0.1111111111111111,0.5,0.1111111111111111,0.5,0.9580182475666924,1.3337718577107012,18,L07|lower|invalid|0,invalid,-1.535117426148567,o4-mini
1.0,0.8,0.0,1.0,1.0,1.0,1.0,4.1236437612653285,1.3337718577107012,20,L07|lower|invalid|1,invalid,-0.0549244384310552,o4-mini
0.3,0.05,0.05,0.05,0.3,0.05,0.3,2.0618218806326643,1.3337718577107012,20,L07|lower|invalid|2,invalid,-1.3141572009803015,o4-mini
1.0,0.95,0.2,0.95,1.0,1.0,1.0,4.985860184075351,1.3337718577107012,20,L07|lower|valid|0,valid,0.1171958414737508,o4-mini
1.0,0.85,0.1,1.0,1.0,1.0,1.0,4.236106772936201,1.3337718577107012,20,L07|lower|valid|1,valid,0.6198225246074065,o4-mini
1.0,0.8,0.1,0.9,1.0,0.95,1.0,4.048668420151413,1.3337718577107012,20,L07|lower|valid|2,valid,0.6013807252325069,o4-mini
0.95,0.95,0.8,0.8,0.8,0.3,0.95,1.55877290257956,6.9606034221179405,20,L08|raise|invalid|0,invalid,-0.0431676956068433,o4-mini
0.85,0.85,0.55,0.15,0.6,0.35,0.85,1.4510236235994058,6.9606034221179405,20,L08|raise|invalid|1,invalid,-0.1124540915297135,o4-mini
0.95,0.95,0.75,0.6,0.8,0.6,0.95,1.9897700185001757,6.9606034221179405,20,L08|raise|invalid|2,invalid,-0.9042421916453488,o4-mini
1.0,1.0,1.0,1.0,1.0,0.7,1.0,2.212451861725827,6.9606034221179405,20,L08|raise|valid|0,valid,0.2596045363013545,o4-mini
1.0,1.0,0.9,0.9,0.95,0.55,1.0,1.8820207395200217,6.9606034221179405,20,L08|raise|valid|1,valid,0.6550092899527733,o4-mini
1.0,1.0,0.95,0.95,1.0,0.75,1.0,2.2914679996446066,6.9606034221179405,20,L08|raise|valid|2,valid,0.6784983579150567,o4-mini
