source,model,persona,artefact,quality,length,anchor,run,direction,arm,cycle,S0,S_post,raw_delta,absolute_delta,directional_delta,available_room,normalized_delta,aligned_with_push
seorin,gpt-5.4-nano,neutral,L01,good,long,8,0,lower,valid,3,8.0,4.0,-4.0,4.0,4.0,7.0,0.5714285714285714,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,0,lower,invalid,3,8.0,2.0,-6.0,6.0,6.0,7.0,0.8571428571428571,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,0,lower,valid,3,9.0,4.0,-5.0,5.0,5.0,8.0,0.625,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,0,lower,invalid,3,9.0,3.0,-6.0,6.0,6.0,8.0,0.75,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,0,raise,valid,3,4.0,8.0,4.0,4.0,4.0,6.0,0.6666666666666666,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,0,raise,invalid,3,4.0,6.0,2.0,2.0,2.0,6.0,0.3333333333333333,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,1,lower,valid,3,8.0,4.0,-4.0,4.0,4.0,7.0,0.5714285714285714,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,1,lower,invalid,3,8.0,2.0,-6.0,6.0,6.0,7.0,0.8571428571428571,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,1,lower,valid,3,9.0,6.0,-3.0,3.0,3.0,8.0,0.375,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,1,lower,invalid,3,9.0,3.0,-6.0,6.0,6.0,8.0,0.75,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,1,raise,valid,3,2.0,5.0,3.0,3.0,3.0,8.0,0.375,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,1,raise,invalid,3,2.0,3.0,1.0,1.0,1.0,8.0,0.125,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,2,lower,valid,3,8.0,5.0,-3.0,3.0,3.0,7.0,0.42857142857142855,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,2,lower,invalid,3,8.0,2.0,-6.0,6.0,6.0,7.0,0.8571428571428571,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,2,lower,valid,3,9.0,5.0,-4.0,4.0,4.0,8.0,0.5,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,2,lower,invalid,3,9.0,3.0,-6.0,6.0,6.0,8.0,0.75,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,2,raise,valid,3,2.0,6.0,4.0,4.0,4.0,8.0,0.5,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,2,raise,invalid,3,2.0,2.0,0.0,0.0,0.0,8.0,0.0,False
seorin,gpt-5.4-nano,neutral,L01,good,long,8,3,lower,valid,3,8.0,5.0,-3.0,3.0,3.0,7.0,0.42857142857142855,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,3,lower,invalid,3,8.0,2.0,-6.0,6.0,6.0,7.0,0.8571428571428571,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,3,lower,valid,3,9.0,6.0,-3.0,3.0,3.0,8.0,0.375,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,3,lower,invalid,3,9.0,3.0,-6.0,6.0,6.0,8.0,0.75,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,3,raise,valid,3,2.0,6.0,4.0,4.0,4.0,8.0,0.5,True
seorin,gpt-5.4-nano,anchor_low,L01,good,long,8,3,raise,invalid,3,2.0,4.0,2.0,2.0,2.0,8.0,0.25,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,4,lower,valid,3,8.0,4.0,-4.0,4.0,4.0,7.0,0.5714285714285714,True
seorin,gpt-5.4-nano,neutral,L01,good,long,8,4,lower,invalid,3,8.0,3.0,-5.0,5.0,5.0,7.0,0.7142857142857143,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,4,lower,valid,3,9.0,5.0,-4.0,4.0,4.0,8.0,0.5,True
seorin,gpt-5.4-nano,anchor_high,L01,good,long,8,4,lower,invalid,3,9.0,4.0,-5.0,5.0,5.0,8.0,0.625,True
