artefact,direction,arm,n,mean_raw_delta,mean_directional_delta,mean_normalized_delta,sd_normalized_delta,min_normalized_delta,max_normalized_delta,alignment_rate
L01,lower,invalid,10,-5.8,5.8,0.776786,0.074595,0.625,0.857143,1
L01,lower,valid,10,-3.7,3.7,0.494643,0.0849107,0.375,0.625,1
L01,raise,invalid,5,1.4,1.4,0.191667,0.116667,0,0.333333,0.8
L01,raise,valid,5,4,4,0.533333,0.103414,0.375,0.666667,1
M05,lower,invalid,13,-5.07692,5.07692,0.721978,0.10847,0.571429,1,1
M05,lower,valid,13,-4.07692,4.07692,0.584066,0.10362,0.5,0.8,1
M05,raise,invalid,2,4,4,0.571429,0,0.571429,0.571429,1
M05,raise,valid,2,4.5,4.5,0.642857,0.0714286,0.571429,0.714286,1
M06,lower,invalid,7,-5.28571,5.28571,0.785714,0.524891,-0.5,1,0.857143
M06,lower,valid,7,-5.57143,5.57143,0.858844,0.102296,0.714286,1,1
M06,raise,invalid,8,1.75,1.75,0.220238,0.241292,-0.333333,0.5,0.875
M06,raise,valid,8,2.5,2.5,0.34003,0.0589584,0.25,0.428571,1
M07,lower,invalid,14,-6.35714,6.35714,0.952806,0.0635327,0.857143,1,1
M07,lower,valid,14,-4,4,0.605357,0.134722,0.375,0.8,1
M07,raise,invalid,1,4,4,0.666667,0,0.666667,0.666667,1
M07,raise,valid,1,3,3,0.5,0,0.5,0.5,1
M08,lower,invalid,10,-3.5,3.5,0.469643,0.0794793,0.375,0.571429,1
M08,lower,valid,10,-5,5,0.666071,0.0663604,0.571429,0.75,1
M08,raise,invalid,5,3.2,3.2,0.4,0.145774,0.25,0.625,1
M08,raise,valid,5,4,4,0.5,0.0790569,0.375,0.625,1
