persona,direction,arm,n,mean_raw_delta,mean_directional_delta,mean_normalized_delta,sd_normalized_delta,min_normalized_delta,max_normalized_delta,alignment_rate
anchor_high,lower,invalid,25,-5.76,5.76,0.75,0.209165,0.375,1,1
anchor_high,lower,valid,25,-4.56,4.56,0.593333,0.143102,0.375,0.857143,1
anchor_low,lower,invalid,7,-4.71429,4.71429,0.942857,0.0903508,0.8,1,1
anchor_low,lower,valid,7,-3.42857,3.42857,0.685714,0.145686,0.4,0.8,1
anchor_low,raise,invalid,18,2.61111,2.61111,0.348214,0.18321,0,0.666667,0.944444
anchor_low,raise,valid,18,3.61111,3.61111,0.476521,0.129797,0.25,0.714286,1
neutral,lower,invalid,22,-4.90909,4.90909,0.69724,0.314245,-0.5,1,0.954545
neutral,lower,valid,22,-4.40909,4.40909,0.638799,0.145265,0.428571,1,1
neutral,raise,invalid,3,0.666667,0.666667,0.0873016,0.316068,-0.333333,0.428571,0.666667
neutral,raise,valid,3,2.33333,2.33333,0.365079,0.0448957,0.333333,0.428571,1
