artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,valid,0,012,88,82,76,74
L01,L,lower,valid,0,120,88,82,78,74
L01,L,lower,valid,0,201,88,82,78,74
L01,L,lower,valid,1,012,88,82,76,74
L01,L,lower,valid,1,120,88,82,78,74
L01,L,lower,valid,1,201,88,82,76,73
L01,L,lower,valid,2,012,88,82,75,73
L01,L,lower,valid,2,120,88,82,78,74
L01,L,lower,valid,2,201,88,82,76,72
L01,L,lower,valid,3,012,88,82,76,72
L01,L,lower,valid,3,120,88,82,78,74
L01,L,lower,valid,3,201,88,82,78,75
L01,L,lower,valid,4,012,90,82,76,72
L01,L,lower,valid,4,120,90,84,78,74
L01,L,lower,valid,4,201,90,84,79,76
L01,L,lower,valid,5,012,88,82,76,74
L01,L,lower,valid,5,120,88,82,78,74
L01,L,lower,valid,5,201,88,82,76,72
L01,L,lower,valid,6,012,88,82,76,74
L01,L,lower,valid,6,120,88,82,78,74
L01,L,lower,valid,6,201,88,83,78,74
L01,L,lower,valid,7,012,88,82,76,73
L01,L,lower,valid,7,120,88,82,78,74
L01,L,lower,valid,7,201,88,82,78,74
L01,L,lower,valid,8,012,88,82,75,72
L01,L,lower,valid,8,120,88,82,78,74
L01,L,lower,valid,8,201,88,82,76,72
L01,L,lower,valid,9,012,88,82,76,74
L01,L,lower,valid,9,120,88,82,78,74
L01,L,lower,valid,9,201,88,82,76,72
L01,L,lower,valid,10,012,88,80,74,72
L01,L,lower,valid,10,120,88,82,78,74
L01,L,lower,valid,10,201,88,82,78,74
L01,L,lower,valid,11,012,88,82,76,74
L01,L,lower,valid,11,120,88,82,78,74
L01,L,lower,valid,11,201,88,82,76,72
L01,L,lower,valid,12,012,88,82,75,72
L01,L,lower,valid,12,120,88,82,78,74
L01,L,lower,valid,12,201,88,82,78,75
L01,L,lower,valid,13,012,88,82,76,74
L01,L,lower,valid,13,120,88,82,78,74
L01,L,lower,valid,13,201,88,82,76,72
L01,L,lower,valid,14,012,88,82,76,72
L01,L,lower,valid,14,120,88,82,78,74
L01,L,lower,valid,14,201,88,82,76,72
L01,L,lower,valid,15,012,90,84,78,75
L01,L,lower,valid,15,120,90,84,80,76
L01,L,lower,valid,15,201,90,84,80,76
L01,L,lower,valid,16,012,90,82,76,74
L01,L,lower,valid,16,120,90,84,80,76
L01,L,lower,valid,16,201,90,84,78,74
L01,L,lower,valid,17,012,90,82,76,72
L01,L,lower,valid,17,120,90,84,80,75
L01,L,lower,valid,17,201,90,85,80,76
L01,L,lower,valid,18,012,90,82,75,72
L01,L,lower,valid,18,120,90,84,80,76
L01,L,lower,valid,18,201,90,84,78,74
L01,L,lower,valid,19,012,88,82,76,74
L01,L,lower,valid,19,120,88,82,78,74
L01,L,lower,valid,19,201,88,82,78,74
L01,L,lower,invalid,0,012,88,82,82,80
L01,L,lower,invalid,0,120,88,88,86,86
L01,L,lower,invalid,0,201,88,86,85,85
L01,L,lower,invalid,1,012,88,82,82,82
L01,L,lower,invalid,1,120,88,88,88,88
L01,L,lower,invalid,1,201,88,84,84,84
L01,L,lower,invalid,2,012,88,84,84,83
L01,L,lower,invalid,2,120,88,88,88,88
L01,L,lower,invalid,2,201,88,86,84,84
L01,L,lower,invalid,3,012,88,80,80,80
L01,L,lower,invalid,3,120,88,88,88,88
L01,L,lower,invalid,3,201,88,87,87,87
L01,L,lower,invalid,4,012,90,84,84,84
L01,L,lower,invalid,4,120,90,90,89,89
L01,L,lower,invalid,4,201,90,86,84,84
L01,L,lower,invalid,5,012,88,82,82,82
L01,L,lower,invalid,5,120,88,88,88,88
L01,L,lower,invalid,5,201,88,86,86,86
L01,L,lower,invalid,6,012,88,82,82,82
L01,L,lower,invalid,6,120,88,88,88,88
L01,L,lower,invalid,6,201,88,86,84,84
L01,L,lower,invalid,7,012,88,82,82,82
L01,L,lower,invalid,7,120,88,86,84,84
L01,L,lower,invalid,7,201,88,84,82,82
L01,L,lower,invalid,8,012,88,82,82,82
L01,L,lower,invalid,8,120,88,88,88,88
L01,L,lower,invalid,8,201,88,84,84,84
L01,L,lower,invalid,9,012,88,82,82,82
L01,L,lower,invalid,9,120,88,88,88,88
L01,L,lower,invalid,9,201,88,84,82,82
L01,L,lower,invalid,10,012,88,82,82,82
L01,L,lower,invalid,10,120,88,88,87,87
L01,L,lower,invalid,10,201,88,84,82,82
L01,L,lower,invalid,11,012,88,84,84,84
L01,L,lower,invalid,11,120,88,86,86,86
L01,L,lower,invalid,11,201,88,84,84,84
L01,L,lower,invalid,12,012,88,82,82,80
L01,L,lower,invalid,12,120,88,88,88,88
L01,L,lower,invalid,12,201,88,86,86,86
L01,L,lower,invalid,13,012,88,82,82,82
L01,L,lower,invalid,13,120,88,88,87,87
L01,L,lower,invalid,13,201,88,88,87,87
L01,L,lower,invalid,14,012,88,82,82,82
L01,L,lower,invalid,14,120,88,88,86,86
