model,turn,threshold,weight_family,aggregation,artefact,validity,update_probability,n_rows,weight_sum
gpt-5.5,1,5,ads_hinged,lead,L01,invalid,0.425,60,15.870807298884715
gpt-5.5,1,5,ads_hinged,lead,L01,valid,1.0,60,44.00477363837894
gpt-5.5,1,5,ads_hinged,lead,L02,invalid,0.0,60,46.99230422876321
gpt-5.5,1,5,ads_hinged,lead,L02,valid,0.8937532528397659,60,33.754920015126686
gpt-5.5,1,5,ads_hinged,lead,L03,invalid,0.0,60,63.93671811386662
gpt-5.5,1,5,ads_hinged,lead,L03,valid,1.0,60,49.147948238209395
gpt-5.5,1,5,ads_hinged,lead,L04,invalid,0.0,60,48.63317328966781
gpt-5.5,1,5,ads_hinged,lead,L04,valid,1.0,60,61.006005465030306
gpt-5.5,1,5,ads_hinged,lead,L07,invalid,0.0,60,23.895320571928135
gpt-5.5,1,5,ads_hinged,lead,L07,valid,0.8823550030525698,60,43.983985831980085
gpt-5.5,1,5,ads_hinged,lead,L08,invalid,0.0,60,15.697020385229079
gpt-5.5,1,5,ads_hinged,lead,L08,valid,1.0,60,46.93380909944575
gpt-5.5,1,5,ads_hinged,lead,M01,invalid,0.0209744964041711,60,49.25061087604536
gpt-5.5,1,5,ads_hinged,lead,M01,valid,0.8361506521716531,60,51.1679983794902
gpt-5.5,1,5,ads_hinged,lead,M02,invalid,0.059101211306906064,60,105.97841334793482
gpt-5.5,1,5,ads_hinged,lead,M02,valid,0.9602282809479248,60,23.975133526979473
gpt-5.5,1,5,ads_hinged,lead,M03,invalid,0.44178570877001244,60,32.04118172113481
gpt-5.5,1,5,ads_hinged,lead,M03,valid,1.0,60,27.64278626386677
gpt-5.5,1,5,ads_hinged,lead,M04,invalid,0.0,60,106.33835595726846
gpt-5.5,1,5,ads_hinged,lead,M04,valid,1.0,60,38.063305457536146
gpt-5.5,1,5,ads_hinged,lead,M05,invalid,0.6,60,1.0431666357172142
gpt-5.5,1,5,ads_hinged,lead,M05,valid,1.0,60,21.427004432033566
gpt-5.5,1,5,ads_hinged,lead,M06,invalid,1.0,60,7.850764033359492
gpt-5.5,1,5,ads_hinged,lead,M06,valid,1.0,60,63.043125395393886
gpt-5.5,1,5,ads_hinged,lead,M07,invalid,0.46523069524012395,60,75.5633093052252
gpt-5.5,1,5,ads_hinged,lead,M07,valid,1.0,60,82.32428418255712
gpt-5.5,1,5,ads_hinged,lead,M08,invalid,0.2522384828835273,60,32.75306430191278
gpt-5.5,1,5,ads_hinged,lead,M08,valid,1.0,60,50.40765591508681
gpt-5.5,1,5,ads_hinged,lead,S01,invalid,0.4925315557296364,60,27.174895941010476
gpt-5.5,1,5,ads_hinged,lead,S01,valid,1.0,60,0.568437183311688
gpt-5.5,1,5,ads_hinged,lead,S02,invalid,0.1755943023606596,60,95.03070894776275
gpt-5.5,1,5,ads_hinged,lead,S02,valid,1.0,60,48.37947958000549
gpt-5.5,1,5,ads_hinged,lead,S03,invalid,0.0,60,13.557144118479393
gpt-5.5,1,5,ads_hinged,lead,S03,valid,1.0,60,38.76168013768836
gpt-5.5,1,5,ads_hinged,lead,S04,invalid,0.015676538024442403,60,83.90673364606239
gpt-5.5,1,5,ads_hinged,lead,S04,valid,0.0017711053363269247,60,23.347243118745762
gpt-5.5,1,5,ads_hinged,lead,S05,invalid,0.9627411882813328,60,18.42237188220466
gpt-5.5,1,5,ads_hinged,lead,S05,valid,1.0,60,84.69237489399973
gpt-5.5,1,5,ads_hinged,lead,S06,invalid,0.463678108568742,60,9.905363254064882
gpt-5.5,1,5,ads_hinged,lead,S06,valid,1.0,60,65.51994711317069
gpt-5.5,1,5,ads_hinged,lead,S07,invalid,0.3589399261494168,60,39.689705449975456
gpt-5.5,1,5,ads_hinged,lead,S07,valid,0.926244099675115,60,43.41569592799851
